Compound Id	LogRBA
1	2.6
2	2.48
3	2.28
4	2.24
5	2
6	1.82
7	1.63
8	1.57
9	1.57
10	1.48
11	1.47
12	1.31
13	1.19
14	1.18
15	1.16
16	1.16
17	1.14
18	1.14
19	0.97
20	1.11
21	0.99
22	0.86
23	0.6
24	0.56
25	0.49
26	0.42
27	0.35
28	0.32
29	0.21
30	0.14
31	-0.02
32	-0.05
33	-0.05
34	-0.14
35	-0.14
36	-0.15
37	-0.19
38	-0.29
39	-0.3
40	-0.35
41	-0.36
42	-0.55
43	-0.6
44	-0.63
45	-0.64
46	-0.67
47	-0.68
48	-0.69
49	-0.82
50	-0.82
51	-0.89
52	-0.92
53	-1.07
54	-1.16
55	-1.25
56	-1.26
57	-1.44
58	-1.44
59	-1.48
60	-1.5
61	-1.51
62	-1.53
63	-1.55
64	-1.61
65	-1.65
67	-1.73
68	-1.74
69	-1.82
70	-1.87
72	-2.09
73	-2.11
74	-2.13
75	-2.18
76	-2.2
77	-2.3
78	-2.31
79	-2.35
80	-2.35
81	-2.37
82	-2.43
83	-2.45
84	-2.46
85	-2.54
86	-2.55
87	-2.61
88	-2.65
89	-2.67
90	-2.69
92	-2.74
93	-2.75
94	-2.77
95	-2.78
96	-2.78
97	-2.82
98	-2.85
99	-2.88
100	-2.89
101	-2.98
102	-3.02
103	-3.04
104	-3.05
105	-3.05
106	-3.07
107	-3.07
108	-3.35
109	-3.13
110	-3.16
111	-3.22
112	-3.22
113	-3.25
114	-3.25
115	-3.26
116	-3.37
117	-3.38
118	-3.41
119	-3.44
120	-3.44
121	-3.44
122	-3.54
123	-3.61
124	-3.61
125	-3.66
126	-3.67
127	-3.67
128	-3.73
129	-3.87
131	-4.17
132	-4.5
