Compound Id	Ab initio polarizability
ANP	18.7
BATR	32.3
23BF	29.2
BP	36.2
BGP	37.7
CH	31.3
CO	41.4
DBA	41.1
FA	26.4
FL	20.5
NPTHC	34.6
TPHNL	29.8
C20Ih	24.6
C28Td	35.2
C32D3	39.8
C36C1	46.1
C36C2v	45.3
C36Cs	46.2
C36D2	48.2
C36D6h	47.9
C40D2	56.2
C44D2	62
C44C1	59.4
C44C2v	58.7
C44Cs	58.7
C44D3h	59.9
C50D3	71.3
C72D6h	92.8
C74D3h	105.1
C76Td	108.6
C78C2v	102.9
C80C2v1	117.2
C80C2v	110.9
C80D2	106.4
C80D3	114.4
C80D5d	105.7
C80D5h	119.1
C80Ih	119.5
C82C2	109.3
C84Td	110.6
ATR	24.3
BPH	19
NPTH	15.6
PRL	34.9
PHN	23
PY	26.7
C60Ih	73.8
C70D5h	91.8
