Compound Id	Cavity ovality
1	1.005
2	1.038
3	1.05
4	1.016
5	1.074
6	1.091
7	1.049
8	1.066
9	1.087
10	1.038
11	1.051
12	1.041
13	1.062
14	1.035
15	1.051
16	1.066
17	1.052
18	1.081
19	1.044
20	1.101
21	1.075
22	1.053
23	1.048
24	1.054
25	1.048
26	1.093
27	1.072
28	1.063
29	1.098
30	1.104
31	1.091
32	1.115
33	1.062
34	1.045
35	1.108
36	1.092
37	1.067
38	1.058
39	1.039
40	1.068
41	1.031
42	1.087
43	1.069
44	1.04
45	1.054
46	1.078
47	1.094
48	1.065
49	1.05
50	1.098
51	1.08
52	1.104
53	1.01
54	1.047
55	1.041
56	1.046
57	1.108
58	1.13
59	1.051
60	1.073
61	1.09
62	1.059
63	1.092
64	1.099
65	1.057
66	1.06
67	1.1
68	1.116
69	1.074
70	1.094
71	1.095
72	1.127
73	1.11
74	1.125
75	1.139
76	1.025
77	1.046
78	1.081
79	1.014
80	1.066
81	1.039
82	1.04
83	1.04
84	1.066
85	1.107
86	1.089
87	1.151
88	1.13
89	1.072
90	1.066
91	1.056
92	1.087
93	1.052
94	1.08
95	1.055
96	1.054
97	1.046
98	1.037
99	1.057
100	1.102
101	1.037
102	1.079
103	1.079
104	1.083
105	1.099
106	1.121
107	1.096
108	1.12
109	1.113
110	1.073
111	1.041
112	1.061
113	1.043
114	1.042
115	1.082
116	1.07
117	1.07
118	1.076
119	1.116
120	1.091
121	1.071
122	1.056
123	1.082
124	1.054
125	1.1
126	1.072
127	1.087
128	1.111
129	1.059
130	1.104
131	1.096
132	1.052
133	1.077
134	1.061
135	1.043
136	1.094
137	1.075
138	1.136
139	1.117
140	1.049
141	1.081
142	1.106
143	1.114
144	1.077
145	1.079
146	1.066
147	1.114
148	1.09
149	1.065
150	1.102
151	1.084
152	1.103
153	1.121
154	1.109
155	1.064
156	1.066
157	1.043
158	1.102
159	1.141
160	1.123
161	1.074
162	1.13
163	1.117
164	1.142
165	1.019
166	1.099
167	1.078
168	1.043
169	1.092
170	1.065
171	1.013
172	1.031
173	1.019
174	1.046
175	1.007
176	1.039
177	1.032
178	1.098
179	1.079
180	1.139
181	1.056
182	1.025
183	1.046
184	1.103
185	1.082
186	1.064
187	1.106
188	1.09
189	1.048
