Compound Id	Hydrogen atoms contribution to the solvent-accessible surface area
1	1.28
2	1.63
3	1.96
4	1.7
5	2.57
6	2.23
7	2.27
8	1.95
9	2.85
10	2
11	1.66
12	2.69
13	2.84
14	2.56
15	2.74
16	2.89
17	2.69
18	2.99
19	2.37
20	3.14
21	2.85
22	2.56
23	2.86
24	2.75
25	2.86
26	3.16
27	2.87
28	2.68
29	3.03
30	3.15
31	2.94
32	3.24
33	2.79
34	2.24
35	3.1
36	2.82
37	2.53
38	2.83
39	2.58
40	2.93
41	2.29
42	3.09
43	2.81
44	2.52
45	2.81
46	2.97
47	3.12
48	2.81
49	2.61
50	3.11
51	2.9
52	3.18
53	1.75
54	2.1
55	2.13
56	2.27
57	3.08
58	3.35
59	2.47
60	2.61
61	3.13
62	2.83
63	3.11
64	3.18
65	2.78
66	2.86
67	3.08
68	3.36
69	2.59
70	3.14
71	2.85
72	3.35
73	3.13
74	3.34
75	3.43
76	2.11
77	2.4
78	2.12
79	1.93
80	2.51
81	2.23
82	1.74
83	1.96
84	2.3
85	3.03
86	2.74
87	3.6
88	3.31
89	2.46
90	1.84
91	2.7
92	3.04
93	2.73
94	3.04
95	2.81
96	3
97	2.71
98	2.09
99	2.7
100	3.27
101	2.42
102	3
103	3.02
104	3.08
105	3
106	3.29
107	2.99
108	3.29
109	3.28
110	2.41
111	2.72
112	2.87
113	2.74
114	2.64
115	3.07
116	2.95
117	2.99
118	3.08
119	3.28
120	2.98
121	2.7
122	2.83
123	3.11
124	2.82
125	3.19
126	2.9
127	3.18
128	3.16
129	2.57
130	2.24
131	3.07
132	1.97
133	2.47
134	2.19
135	2.58
136	2.95
137	2.66
138	3.52
139	3.22
140	2.36
141	2.97
142	3.25
143	3.29
144	3.05
145	3.02
146	2.98
147	3.28
148	2.99
149	2.93
150	3.18
151	3.13
152	3.16
153	3.44
154	3.23
155	2.35
156	2.16
157	2.24
158	2.96
159	3.54
160	3.25
161	2.34
162	3.45
163	3.27
164	3.54
165	1.66
166	2.61
167	2.3
168	2.01
169	2.63
170	2.32
171	1.42
172	1.95
173	1.61
174	2.16
175	1.52
176	2.02
177	2.1
178	2.89
179	2.59
180	3.46
181	2.31
182	1.74
183	1.73
184	2.65
185	2.36
186	2.08
187	2.71
188	2.41
189	2.14
