Compound Id	HOMO
1	-10.9959
2	-10.7418
3	-10.8034
4	-10.876
5	-10.6682
6	-9.6685
7	-10.8455
8	-11.2451
9	-9.9321
10	-10.0278
11	-11.2487
12	-11.4164
13	-8.3576
14	-11.3335
15	-9.868
16	-9.2178
17	-9.6524
18	-11.7709
19	-11.3897
20	-11.1834
21	-10.0146
22	-10.992
24	-8.3391
25	-11.2212
26	-11.2273
27	-10.8715
28	-9.8648
29	-9.3303
30	-10.0039
31	-8.9993
32	-9.7413
33	-11.1828
34	-11.5018
35	-11.5011
36	-10.8484
37	-8.3724
38	-10.1894
39	-11.3831
40	-11.5438
41	-8.4636
42	-11.4818
43	-8.3502
44	-9.0319
45	-9.6965
46	-8.6019
47	-9.1918
48	-9.9556
49	-11.4142
50	-8.9412
51	-9.1814
52	-11.8693
53	-9.0616
54	-9.1176
55	-8.4761
56	-10.5622
57	-8.494
58	-8.4302
59	-9.5671
60	-10.2973
61	-8.605
62	-10.3318
63	-8.5189
64	-9.3831
65	-8.7828
67	-11.3105
68	-10.3884
69	-8.8806
70	-9.0296
71	-9.4842
72	-11.0717
73	-9.0744
74	-9.3724
75	-9.1233
76	-10.338
77	-9.1827
78	-9.7164
79	-9.6224
80	-8.3706
81	-10.0715
82	-9.484
83	-10.3674
84	-10.8573
85	-11.7928
86	-8.4944
87	-8.9599
88	-9.1145
89	-11.5673
90	-8.4975
91	-11.0631
92	-9.6818
93	-8.5243
94	-8.7111
95	-9.5609
96	-8.6736
97	-9.9003
98	-10.0772
99	-8.5028
100	-8.3257
101	-10.3046
102	-9.4599
103	-8.8851
104	-10.2003
105	-8.6266
106	-9.3966
107	-10.171
108	-8.4309
109	-9.0777
110	-10.218
111	-8.3389
112	-10.1839
113	-11.6475
114	-10.0511
116	-10.4748
117	-9.1063
118	-8.8826
119	-9.7633
120	-9.0005
121	-10.4164
122	-9.2591
123	-9.1245
124	-9.189
125	-9.3895
126	-8.6939
127	-9.2835
128	-9.4646
129	-10.3051
130	-9.9406
131	-9.6714
132	-10.1268
133	-10.2838
134	-8.727
135	-12.1823
136	-8.5745
137	-10.7624
138	-8.9203
139	-10.4702
140	-8.6949
141	-9.7864
142	-9.083
143	-8.4579
144	-8.7991
145	-8.809
146	-8.7642
147	-9.2713
148	-9.6019
149	-10.5092
150	-9.5234
151	-8.7336
152	-9.0518
154	-9.3881
155	-8.9532
156	-9.8124
157	-8.7124
158	-9.1364
159	-8.7823
160	-8.9414
161	-8.4031
162	-8.6445
163	-8.9322
164	-8.6241
165	-9.4913
166	-11.363
167	-10.2439
168	-9.0981
169	-8.4353
170	-8.6166
172	-9.1084
173	-8.9322
174	-8.6352
175	-11.1451
176	-8.9547
177	-9.1529
178	-8.5221
179	-8.8924
180	-9.9791
181	-9.0405
182	-8.7933
183	-10.8915
184	-8.3759
185	-9.4219
186	-9.3843
187	-8.6745
189	-9.9795
190	-8.7645
191	-9.5736
192	-8.945
193	-8.2033
194	-9.6292
195	-9.176
196	-8.2017
197	-9.3273
198	-9.1204
199	-8.4533
200	-9.0068
201	-9.9401
202	-9.0066
203	-9.5084
204	-8.4086
205	-9.3903
206	-9.0656
207	-10.1279
208	-10.6944
209	-10.4869
211	-8.1826
213	-9.0286
214	-8.942
215	-8.732
216	-9.4537
217	-8.3793
218	-8.6887
220	-10.3493
221	-10.0349
222	-9.535
223	-8.6712
224	-9.4532
225	-8.6299
226	-8.8447
228	-8.4091
229	-8.5773
231	-9.5264
232	-9.9578
233	-9.0154
234	-10.9172
235	-8.9829
237	-9.6046
238	-9.6838
239	-8.9785
240	-9.1358
242	-9.037
243	-9.1934
244	-9.5871
247	-9.5026
249	-8.9171
250	-9.2078
253	-9.2083
