Compound Id	LogPmix
1	-1.36
2	0.4
3	-1.75
4	-0.31
5	-0.24
6	-1.01
7	0.25
8	1.06
9	0.65
10	0.21
11	0.73
12	1.48
13	0.1
14	-0.3
15	0.77
16	1.81
17	2.13
18	1.97
19	1.25
20	2
21	1.86
22	1.29
24	0.57
25	1.21
26	0.03
27	1.3
28	-1.43
29	2.73
30	1.7
31	1.9
32	0.03
33	0.19
34	0.79
35	0.33
36	2.62
37	0.85
38	2.13
39	1.98
40	0.98
41	1.42
42	1.39
43	-0.43
44	2.95
45	2.81
46	0.71
47	3.2
48	2.42
49	1.33
50	1.34
51	2.03
52	3.22
53	3.15
54	4.83
55	3.21
56	1.85
57	3.92
58	3.12
59	0.3
60	2.42
61	2.8
62	2.24
63	-0.26
64	3.66
65	1.32
67	2.25
68	3.21
69	1.94
70	2.08
71	1.65
72	2.4
73	-0.48
74	3.15
75	-0.43
76	1.6
77	3.12
78	4.22
79	4.02
80	-0.24
81	1.91
82	1.71
83	2.46
84	0.25
85	2.93
86	0.63
87	1.95
88	1.46
89	1.89
90	-0.21
91	5.01
92	3.53
93	-1.08
94	3.3
95	2.84
96	4.23
97	3.4
98	2.91
99	-0.69
100	1.18
101	2.37
102	1.39
103	2.36
104	2.45
105	2.36
106	3.16
107	2.3
108	1.74
109	-0.55
110	3.09
111	2.35
112	2.06
113	2.39
114	3.05
116	2.39
117	4.1
118	1.4
119	4.56
120	3.13
121	3.09
122	2.15
123	2.39
124	2.59
125	1.81
126	2.42
127	2.12
128	2.61
129	7.6
130	2.83
131	3.72
132	3.09
133	3.05
134	2.69
135	4.14
136	3.4
137	1.67
138	2.94
139	3.07
140	3.2
141	5.17
142	1.52
143	4.89
144	2.75
145	3.45
146	2.3
147	3.06
148	3.43
149	2.12
150	3.44
151	2.69
152	3.1
154	3.72
155	3.98
156	1.65
157	3.7
158	4.8
159	3.9
160	4.12
161	2.14
162	4.75
163	2.9
164	1.9
165	4.73
166	3.72
167	3.66
168	1.47
169	1.32
170	4.46
172	3.72
173	3.09
174	5.07
175	2.17
176	4.21
177	0.94
178	0.9
179	4.53
180	3.83
181	2.92
182	3.33
183	2.18
184	2.16
185	4.01
186	3.77
187	2.78
189	3.83
190	4.27
191	5.12
192	1.27
193	0.95
194	3.88
195	3.35
196	4.38
197	5.81
198	4.58
199	0.93
200	4.61
201	3.83
202	2.63
203	4.45
204	1.66
205	3.69
206	4.94
207	4.97
208	-0.01
209	3.56
211	5.19
213	3.47
214	1.81
215	1.88
216	4.45
217	1.96
218	3.28
220	3.05
221	4.98
222	0.62
223	1.52
224	4.59
225	5.16
226	5.28
228	4.67
229	1.83
231	3.75
232	5.47
233	3.16
234	5.41
235	3.75
237	5.04
238	6.29
239	5.08
240	4.3
242	4.9
243	6.2
244	6.91
247	4.13
249	6.5
250	6.6
253	6.2
