Compound Id	LogLC50_48h
1	-0.101
2	-0.452
3	-0.457
4	-0.588
5	-0.672
6	-0.706
7	-0.944
8	-1.557
9	-1.828
10	-1.961
11	-2.077
12	-2.079
13	-2.186
14	-2.343
15	-2.346
16	-2.423
17	-2.449
18	-2.529
19	-2.587
20	-2.606
21	-2.644
22	-2.775
24	-2.836
25	-2.837
26	-2.906
27	-2.935
28	-2.969
29	-2.975
30	-3.061
31	-3.074
32	-3.128
33	-3.135
34	-3.16
35	-3.171
36	-3.233
37	-3.237
38	-3.33
39	-3.337
40	-3.338
41	-3.352
42	-3.356
43	-3.394
44	-3.405
45	-3.411
46	-3.412
47	-3.428
48	-3.428
49	-3.431
50	-3.48
51	-3.488
52	-3.507
53	-3.517
54	-3.522
55	-3.532
56	-3.572
57	-3.575
58	-3.605
59	-3.608
60	-3.613
61	-3.63
62	-3.635
63	-3.635
64	-3.675
65	-3.681
67	-3.691
68	-3.7
69	-3.71
70	-3.711
71	-3.734
72	-3.74
73	-3.757
74	-3.761
75	-3.768
76	-3.77
77	-3.79
78	-3.792
79	-3.799
80	-3.8
81	-3.801
82	-3.824
83	-3.836
84	-3.844
85	-3.845
86	-3.849
87	-3.855
88	-3.863
89	-3.87
90	-3.872
91	-3.898
92	-3.927
93	-3.927
94	-3.932
95	-3.939
96	-3.953
97	-3.964
98	-3.975
99	-3.977
100	-4.011
101	-4.015
102	-4.034
103	-4.038
104	-4.039
105	-4.079
106	-4.1
107	-4.142
108	-4.178
109	-4.221
110	-4.242
111	-4.246
112	-4.253
113	-4.256
114	-4.266
116	-4.305
117	-4.315
118	-4.33
119	-4.347
120	-4.405
121	-4.408
122	-4.409
123	-4.426
124	-4.464
125	-4.474
126	-4.479
127	-4.489
128	-4.495
129	-4.55
130	-4.556
131	-4.605
132	-4.611
133	-4.625
134	-4.632
135	-4.642
136	-4.651
137	-4.652
138	-4.653
139	-4.66
140	-4.668
141	-4.674
142	-4.72
143	-4.737
144	-4.744
145	-4.762
146	-4.765
147	-4.797
148	-4.806
149	-4.806
150	-4.825
151	-4.848
152	-4.853
154	-4.864
155	-4.866
156	-4.934
157	-4.994
158	-4.996
159	-5.007
160	-5.044
161	-5.069
162	-5.078
163	-5.16
164	-5.195
165	-5.239
166	-5.29
167	-5.3
168	-5.307
169	-5.314
170	-5.325
172	-5.375
173	-5.38
174	-5.391
175	-5.403
176	-5.405
177	-5.417
178	-5.419
179	-5.424
180	-5.428
181	-5.428
182	-5.43
183	-5.441
184	-5.46
185	-5.463
186	-5.494
187	-5.511
189	-5.538
190	-5.557
191	-5.559
192	-5.563
193	-5.572
194	-5.609
195	-5.615
196	-5.619
197	-5.64
198	-5.642
199	-5.643
200	-5.652
201	-5.685
202	-5.692
203	-5.757
204	-5.787
205	-5.818
206	-5.84
207	-5.876
208	-5.904
209	-6
211	-6.027
213	-6.099
214	-6.104
215	-6.106
216	-6.11
217	-6.129
218	-6.14
220	-6.206
221	-6.21
222	-6.251
223	-6.269
224	-6.272
225	-6.282
226	-6.36
228	-6.397
229	-6.407
231	-6.449
232	-6.511
233	-6.54
234	-6.612
235	-6.649
237	-6.777
238	-6.988
239	-7.02
240	-7.341
242	-7.478
243	-7.99
244	-8.125
247	-8.402
249	-8.86
250	-9.063
253	-10.005
