ID,InchiCode
1,InChI=1S/C7H5NO3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H
2,InChI=1S/C11H8O/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-8H
3,InChI=1S/C13H10O/c14-10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-10H
4,InChI=1S/C7H5BrO/c8-7-3-1-6(5-9)2-4-7/h1-5H
5,"InChI=1S/C8H5NO/c9-5-7-1-3-8(6-10)4-2-7/h1-4,6H"
6,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
7,"InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3"
8,InChI=1S/C7H5FO/c8-7-3-1-6(5-9)2-4-7/h1-5H
9,InChI=1S/C7H5ClO/c8-7-3-1-6(5-9)2-4-7/h1-5H
10,"InChI=1S/C9H10O/c1-2-8-3-5-9(7-10)6-4-8/h3-7H,2H2,1H3"
11,InChI=1S/C8H6O2/c9-5-7-1-2-8(6-10)4-3-7/h1-6H
12,"InChI=1S/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3"
13,"InChI=1S/C9H10O2/c1-2-11-9-5-3-8(7-10)4-6-9/h3-7H,2H2,1H3"
14,"InChI=1S/C9H9NO2/c1-7(12)10-9-4-2-8(6-11)3-5-9/h2-6H,1H3,(H,10,12)"
15,"InChI=1S/C8H8O/c1-7-4-2-3-5-8(7)6-9/h2-6H,1H3"
16,"InChI=1S/C8H8O/c1-7-3-2-4-8(5-7)6-9/h2-6H,1H3"
17,InChI=1S/C7H5ClO/c8-7-4-2-1-3-6(7)5-9/h1-5H
18,InChI=1S/C7H5ClO/c8-7-3-1-2-6(4-7)5-9/h1-5H
19,InChI=1S/C7H5NO3/c9-5-6-3-1-2-4-7(6)8(10)11/h1-5H
20,InChI=1S/C7H5NO3/c9-5-6-2-1-3-7(4-6)8(10)11/h1-5H
21,InChI=1S/C8H6O2/c9-5-7-2-1-3-8(4-7)6-10/h1-6H
22,"InChI=1S/C8H8O2/c1-10-8-5-3-2-4-7(8)6-9/h2-6H,1H3"
23,"InChI=1S/C8H8O2/c1-10-8-4-2-3-7(5-8)6-9/h2-6H,1H3"
24,InChI=1S/C7H5BrO/c8-7-3-1-2-6(4-7)5-9/h1-5H
