Compound Id	Charged surface area of H-acceptors (MOPAC PC)
AMF1	34.41
AMF2	79.12
AMF3	53.37
AMF4	46.94
AMF5	45.03
AMF6	56.4
AMF7	48.86
AMF8	76.79
AMF9	44.12
AMF10	59.72
AMF11	34.76
AMF12	33.52
AMF13	36.46
AMF14	57.98
AMF15	36.75
AMF16	34.07
AMF17	100.57
AMF18	31.67
AMF19	21.44
AMF20	34.05
AMF21	34.09
AMF22	15.45
AMF23	34.21
AMF24	80.41
AMF25	36.59
AMF26	26.51
AMF27	68.01
AMF28	28.11
AMF29	35.02
AMF30	34.2
AMF31	30.2
AMF32	64.7
AMF33	24.77
AMF34	80.08
AMF35	22.26
AMF36	30.45
AMF37	34.44
AMF38	22.3
AMF39	37.83
AMF40	76.82
AMF41	80.58
AMF42	68.77
AMF43	74.59
AMF44	77.95
AMF45	78.64
AMF46	72.11
AMF47	75.35
AMF48	66.29
AMF49	65.8
AMF50	70.36
AMF51	77.7
AMF52	75.56
AMF53	82.5
AMF54	69.94
AMF55	70.7
AMF56	72.25
AMF57	68.15
AMF58	15.54
AMF59	56.35
AMF60	23.27
