Compound Id	Logarithmic effective membrane permeability at pH 3 for ampholytes
AMF1	-7.9
AMF2	-8.02
AMF3	-6.35
AMF4	-6.09
AMF5	-7.22
AMF6	-7.07
AMF7	-6.54
AMF8	-7.92
AMF9	-6.55
AMF10	-7.18
AMF11	-7.23
AMF12	-7.42
AMF13	-7.73
AMF14	-7.45
AMF15	-7.54
AMF16	-7.65
AMF17	-8.71
AMF18	-7.36
AMF19	-6.97
AMF20	-7.15
AMF21	-7.51
AMF22	-6.17
AMF23	-7.38
AMF24	-4.42
AMF25	-8.17
AMF26	-6.56
AMF27	-6.9
AMF28	-7.01
AMF29	-7.76
AMF30	-7.61
AMF31	-7.48
AMF32	-8.09
AMF33	-7.51
AMF34	-4.31
AMF35	-7.75
AMF36	-5.72
AMF37	-6.58
AMF38	-6.68
AMF39	-7.5
AMF40	-6.22
AMF41	-7.48
AMF42	-7.18
AMF43	-7.37
AMF44	-6.11
AMF45	-6.36
AMF46	-7.27
AMF47	-7.11
AMF48	-7.5
AMF49	-6.9
AMF50	-7.05
AMF51	-6.81
AMF52	-7.44
AMF53	-7.34
AMF54	-7.29
AMF55	-6.66
AMF56	-7.46
AMF57	-6.82
AMF58	-5.08
AMF59	-7.24
AMF60	-6.4
