Compound Id	Hydrogen bonding surface area
1	66.72
2	86.91
3	214.45
4	93.39
5	324.11
6	201.55
7	291.37
8	153.8
9	193.55
10	29.78
11	227.11
12	327.24
13	204.37
14	158.29
15	170.58
16	238.17
17	134.94
18	160.45
19	132.47
20	129.11
21	190.99
22	160.13
23	173.02
24	238.66
25	231.42
26	63.52
27	69.8
28	233.94
29	207.65
30	275.7
31	178.97
32	179.72
33	222.5
34	236.96
35	201.8
36	201.64
37	199.1
38	183.62
39	203.97
40	169.76
41	188.48
42	209.05
43	185.86
44	79.25
45	279.55
46	188.36
47	189.87
48	288
49	194.64
50	194.81
51	209.72
52	176.68
53	133.13
54	205.38
55	175.79
56	171.91
57	191.17
58	133.33
59	119.58
60	96.52
61	323.94
62	177.06
63	148.2
64	217.46
65	210.24
66	28.62
67	63.5
68	144.5
69	61.72
70	152.04
71	217.26
72	68.88
73	167.92
