Compound Id	Effective membrane permeability
1	-5.96
2	-5.66
3	-7.34
4	-5.11
5	-7.04
6	-6.51
7	-6.49
8	-6.69
9	-7.06
10	-3.95
11	-7.12
12	-6.36
13	-6.03
14	-6.71
15	-5.15
16	-5.98
17	-4.45
18	-7.51
19	-6.91
20	-4.67
21	-7.63
22	-7.47
23	-7.18
24	-6.17
25	-6.68
26	-4.05
27	-4.76
28	-7.42
29	-7.38
30	-7.23
31	-7.46
32	-6.35
33	-7.34
34	-7.37
35	-7.02
36	-6.86
37	-6.82
38	-7.24
39	-7.35
40	-7
41	-6.63
42	-7.44
43	-6.84
44	-3.65
45	-6.41
46	-6.91
47	-7.35
48	-7.15
49	-7.49
50	-6.67
51	-7.42
52	-5.83
53	-4.79
54	-6.1
55	-7.33
56	-7.03
57	-6.8
58	-4.3
59	-4.18
60	-4.25
61	-6.53
62	-4.5
63	-6.05
64	-4.71
65	-7.06
66	-5.14
67	-5.69
68	-5.4
69	-4.46
70	-4.69
71	-5.48
72	-5.86
73	-6.37
