Compound Id	Hydrogen bond donor charged surface area divided with total molecular surface area (HDCA-2/TMSA, MOPAC, all)
A1	0.0067
A2	0.0077
A3	0.0033
A4	0.0039
A5	0.0059
A6	0.0083
A7	0.0097
A8	0.0055
A9	0.0092
A10	0.0053
A11	0.0097
A12	0.0047
A13	0.004
A14	0.0065
A15	0.0137
A16	0.0035
A17	0.0139
A18	0.0057
A19	0.004
A20	0.0068
A21	0.0047
A22	0.0087
A23	0.0082
A24	0.0076
A25	0.0081
A26	0.0031
A27	0.0016
A28	0.0066
A29	0.0054
A30	0.012
A31	0.0125
A32	0.01
A33	0.0061
A34	0.0094
A35	0.0066
A36	0.0032
