Compound Id	Octanol/water partition coefficient
tr1	0.49
tr2	1.16
tr3	-3.08
tr4	2.73
tr5	-0.83
tr6	2.55
tr7	1.06
tr8	0.65
tr9	1.92
tr10	1.88
tr11	5.48
tr12	1.87
tr13	0.38
tr14	2.52
tr15	2.57
tr16	4.73
tr17	5.53
tr18	3.68
tr19	2.74
tr20	5.29
tr21	2.23
tr22	3.32
tr23	2.65
tr24	2.82
tr25	0.8
tr26	-0.47
tr27	3.78
tr28	1.37
tr29	0.73
tr30	2.75
tr31	-0.68
tr32	3
tr33	2.19
tr34	0.98
et1	0.98
et2	2.51
et3	3.74
et4	0.89
et5	2.96
et6	2.08
et7	3.38
et8	-0.44
et9	-0.36
et10	-0.21
et11	2.4
et12	-1.27
et13	1.89
et14	0.88
et15	-0.79
et16	4.95
et17	-0.6
et18	0.1
et19	0.6
et20	1.1
et21	0.56
et22	-0.57
et23	2.5
et24	4.28
et25	5.66
et26	-1.06
