Compound Id	Lattice energy
tr1	-120.67
tr2	-96.76
tr3	-196.72
tr4	-137.71
tr5	-126.45
tr6	-91.06
tr7	-113.2
tr8	-97.65
tr9	-105.19
tr10	-93.8
tr11	-143.37
tr12	-110.68
tr13	-171.01
tr14	-155.7
tr15	-142.19
tr16	-143.27
tr17	-134.87
tr18	-119.72
tr19	-170.72
tr20	-139.47
tr21	-164.34
tr22	-79.22
tr23	-98.09
tr24	-135.17
tr25	-98.13
tr26	-156.97
tr27	-169.86
tr28	-127.7
tr29	-139.33
tr30	-155.68
tr31	-93.98
tr32	-142.13
tr33	-92.32
tr34	-176.1
et1	-115.05
et2	-170.36
et3	-123.08
et4	-171.69
et5	-133.67
et6	-138.29
et7	-147.03
et8	-160.98
et9	-193.12
et10	-201.73
et11	-133.21
et12	-203.26
et13	-153.6
et14	-136.64
et15	-85.7
et16	-105.42
et17	-189.82
et18	-166.57
et19	-168.52
et20	-180.87
et21	-155.6
et22	-136.91
et23	-168.22
et24	-78
et25	-123.89
et26	-105.82
