Compound Id	Fraction of rotatable bonds
tr1	0.182
tr2	0.2
tr3	0.095
tr4	0.333
tr5	0
tr6	0.04
tr7	0.091
tr8	0.111
tr9	0.25
tr10	0.111
tr11	0.13
tr12	0
tr13	0.471
tr14	0.039
tr15	0.208
tr16	0.2
tr17	0.191
tr18	0.267
tr19	0.13
tr20	0.158
tr21	0.4
tr22	0
tr23	0
tr24	0.167
tr25	0.111
tr26	0.167
tr27	0.222
tr28	0.111
tr29	0.167
tr30	0.3
tr31	0.111
tr32	0.111
tr33	0.1
tr34	0.227
et1	0.1
et2	0.071
et3	0
et4	0.111
et5	0.046
et6	0.095
et7	0
et8	0.208
et9	0.056
et10	0.095
et11	0.267
et12	0.056
et13	0.12
et14	0.118
et15	0
et16	0
et17	0.097
et18	0.167
et19	0.158
et20	0.15
et21	0.167
et22	0.091
et23	0.389
et24	0
et25	0
et26	0
