ID,InchiCode
1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H"
2,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H
3,InChI=1S/C22H14/c1-3-7-19-15(5-1)9-11-17-14-22-18(13-21(17)19)12-10-16-6-2-4-8-20(16)22/h1-14H
4,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
5,"InChI=1S/CCl4/c2-1(3,4)5"
6,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3"
7,InChI=1S/C18H12/c1-2-7-15-12-18-16(11-14(15)6-1)10-9-13-5-3-4-8-17(13)18/h1-12H
8,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2"
9,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+"
10,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
11,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)"
12,"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10+,11-"
13,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
14,"InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)"
15,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3
16,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)"
17,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
18,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
19,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
20,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"
21,"InChI=1S/CH4O/c1-2/h2H,1H3"
22,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
23,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
24,InChI=1S/CHCl3/c2-1(3)4/h1H
25,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8"
26,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)"
