Compound Id	MAXDP
2	3.22
5	4.892
6	4.788
8	3.105
9	2.879
10	1.82
11	1.333
13	4.092
14	1.569
15	5.456
16	3.484
18	3.435
19	1
23	2.556
25	4.019
26	4.084
28	2.066
29	2.197
31	0.95
32	1.319
37	3.465
38	1.024
39	3.132
41	3.444
42	2.144
43	1.219
44	2.361
45	2.813
47	0.985
48	0.846
49	2.59
50	1.003
52	3.095
53	1.66
54	0.249
56	6.517
58	4.945
59	4.764
60	1.307
61	3.201
65	3.143
66	3.067
67	3.703
68	3.067
72	0.12
74	2.857
75	4.234
76	4.093
78	3.097
79	0.12
81	1.466
84	2.787
85	0.204
86	1.571
87	1.491
88	1.5
91	1.275
95	3.683
96	3.022
97	3.645
99	3.742
100	3.159
102	3.077
103	3.036
104	3.274
108	1.35
109	3.006
110	0.527
111	2.225
112	1.097
113	2.593
118	2.753
119	3.075
120	1.15
121	3.044
122	4.035
123	4.235
124	1.406
129	2.698
131	3.376
136	1.625
137	1.493
138	3.028
141	3.254
142	1.75
143	0.167
145	0.846
152	2.98
155	1.139
156	1.066
157	0.361
159	1.083
160	3.348
163	1.211
164	2.564
165	1.913
168	0.785
169	1.125
170	3.396
175	2.293
176	0.225
178	2.033
180	0.669
181	1.343
182	2.423
183	3.579
185	2.507
186	4.03
188	4.99
189	4.254
192	3.216
195	2.801
199	2.853
200	3.38
201	3.337
202	3.249
204	3.1
205	4.802
207	3.288
208	0.804
210	2.852
211	2.895
212	3.033
213	3.696
215	3.096
217	1.424
218	5.171
219	2.229
221	3.558
222	4.384
223	4.723
224	4.885
225	4.122
226	1.75
227	2.822
230	1.106
231	3.254
234	3.28
236	2.797
240	3.179
243	2.185
248	4.322
250	4.084
259	3.331
260	2.468
261	3.227
263	0.241
264	3.237
265	1.449
266	3.865
267	3.227
269	3.144
270	3.22
272	0.676
273	1.481
274	2.615
275	3.203
277	3.651
278	1.435
279	3.204
280	4.032
284	3.465
285	1.578
289	3.435
293	1.283
294	0.651
295	0.222
296	1.523
298	2.925
301	1.575
303	1.938
305	0.861
306	3.72
310	3.443
311	1.893
316	2.059
317	6.818
318	3.119
320	3.476
321	1.724
322	3.067
323	3.469
325	3.211
327	2.975
328	2.669
329	1.924
333	0.971
336	1.295
339	3.859
340	1.946
341	3.908
344	2.079
345	4.154
347	0.678
350	3.194
351	0.723
352	3.053
354	3.071
356	1.391
359	3.648
360	2.41
361	3.882
362	1.504
363	3.71
364	3.85
366	4.49
367	3.822
369	3.387
370	2.316
372	3.628
374	3.148
376	3.93
377	2.507
378	1.437
379	5.055
380	4.021
382	3.38
387	3.105
388	0.222
392	3.046
396	1.657
398	0.21
400	1.408
402	1.104
405	2.958
408	3.5
410	2.81
411	2.725
412	1.061
413	2.009
414	3.728
417	2.753
418	3.235
419	5.402
424	4.819
425	2.236
427	4.953
429	2.618
431	3.474
432	3.336
436	4.053
437	1.486
440	2.052
442	5.802
443	5.393
444	0.228
445	4.075
446	3.784
448	3.711
1	4.745
3	2.599
4	3.423
7	4.672
12	1.358
17	2.68
20	2.056
21	2.444
22	0.694
24	1.033
27	1.875
30	0
33	1.806
34	0.653
35	2.521
36	2.535
40	2.896
46	2.236
51	3.895
55	0.688
57	4.544
62	3.008
63	4.173
64	3.564
69	3.371
70	3.564
71	3.33
73	0.333
77	4.931
80	2.919
82	1.473
83	4.319
89	2.258
90	2.736
92	3.181
93	2.693
94	3.3
98	3.006
101	0.12
105	2.457
106	0.162
107	0.631
114	2.078
115	3.479
116	1.555
117	3.149
125	0.12
126	2.757
127	1.442
128	1.445
130	1.427
132	0.498
133	0.943
134	1.743
135	1.028
139	1.822
140	0.253
144	0.083
146	1.429
147	2.909
148	3.463
149	2.632
150	0.884
151	0.979
153	0.53
154	0.56
158	1.444
161	3.319
162	0.232
166	2.135
167	0
171	3.407
172	3.129
173	0.63
174	1.269
177	1.311
179	2.366
184	1.369
187	2.007
190	4.653
191	4.083
193	3.164
194	4.846
196	3.413
197	2.669
198	1.486
203	0.083
206	3.171
209	2.403
214	2.405
216	1.444
220	0.883
228	1.924
229	0.278
232	1.814
233	2.469
235	2.864
237	1.458
238	1.618
239	4.707
241	4.247
242	4.573
244	4.127
245	3.995
246	4.031
247	4.535
249	4.359
251	3.988
252	4.195
253	2.56
254	1.798
255	2.966
256	3.961
257	0.655
258	4.913
262	3.372
268	3.227
271	0.598
276	0
281	3.518
282	1.544
283	3.312
286	3.448
287	3.903
288	3.534
290	4.893
291	2.536
292	1.583
297	1.53
299	4.451
300	2.657
302	3.533
304	1.284
307	3.526
308	3.99
309	1.289
312	0.12
313	2.321
314	3.139
315	4.286
319	2.848
324	0.542
326	0.126
330	2.242
331	2.242
332	3.706
334	4.957
335	3.265
337	5.138
338	3.618
342	3.083
343	3.164
346	1.438
348	3.07
349	3.302
353	4.673
355	3.696
357	3.968
358	0.942
365	2.219
368	3.729
371	3.723
373	3.922
375	3.994
381	1.945
383	3.74
384	2.831
385	1.544
386	1.713
389	3.678
390	3.631
391	2.74
393	0.99
394	4.299
395	4.247
397	4.167
399	3.866
401	1.607
403	1.306
404	2.454
406	3.618
407	3.058
409	3.295
415	1.429
416	1.409
420	0.727
421	3.944
422	4.317
423	4.902
426	3.005
428	1.636
430	1.243
433	1.603
434	3.555
435	2.085
438	1.88
439	1.661
441	4.08
447	2.125
449	3.616
