Compound Id	nCb
2	3
5	0
6	0
8	5
9	3
10	1
11	0
13	3
14	0
15	0
16	2
18	3
19	0
23	0
25	10
26	2
28	0
29	0
31	0
32	0
37	0
38	0
39	0
41	0
42	0
43	0
44	0
45	0
47	0
48	0
49	0
50	0
52	2
53	3
54	4
56	8
58	2
59	3
60	0
61	6
65	2
66	2
67	4
68	2
72	2
74	2
75	1
76	2
78	3
79	2
81	2
84	2
85	3
86	3
87	3
88	4
91	0
95	6
96	2
97	1
99	2
100	2
102	2
103	2
104	2
108	1
109	1
110	1
111	0
112	0
113	0
118	0
119	2
120	0
121	3
122	0
123	0
124	2
129	2
131	0
136	0
137	0
138	0
141	0
142	0
143	2
145	0
152	0
155	0
156	0
157	0
159	0
160	0
163	0
164	0
165	0
168	0
169	0
170	0
175	0
176	0
178	0
180	0
181	0
182	0
183	0
185	0
186	2
188	4
189	2
192	4
195	1
199	3
200	3
201	3
202	3
204	2
205	0
207	2
208	2
210	2
211	0
212	0
213	0
215	0
217	0
218	0
219	0
221	1
222	4
223	4
224	2
225	0
226	0
227	0
230	0
231	0
234	3
236	2
240	3
243	0
248	3
250	2
259	4
260	2
261	2
263	1
264	0
265	2
266	3
267	2
269	0
270	3
272	1
273	2
274	0
275	0
277	0
278	0
279	0
280	2
284	3
285	3
289	3
293	0
294	0
295	0
296	4
298	2
301	0
303	0
305	0
306	0
310	0
311	0
316	2
317	3
318	0
320	0
321	0
322	3
323	0
325	3
327	0
328	0
329	0
333	1
336	0
339	2
340	1
341	2
344	3
345	3
347	0
350	2
351	2
352	4
354	4
356	0
359	3
360	0
361	3
362	0
363	0
364	3
366	3
367	1
369	4
370	0
372	3
374	4
376	2
377	0
378	0
379	4
380	3
382	4
387	0
388	0
392	5
396	3
398	0
400	0
402	0
405	0
408	5
410	0
411	0
412	0
413	0
414	0
417	0
418	2
419	1
424	1
425	0
427	3
429	0
431	3
432	0
436	0
437	2
440	2
442	5
443	3
444	0
445	2
446	2
448	4
1	1
3	0
4	1
7	0
12	1
17	0
20	0
21	0
22	0
24	0
27	0
30	0
33	0
34	0
35	0
36	0
40	0
46	0
51	0
55	2
57	2
62	4
63	3
64	2
69	3
70	3
71	4
73	1
77	3
80	2
82	2
83	2
89	0
90	0
92	0
93	0
94	3
98	1
101	2
105	0
106	1
107	1
114	2
115	1
116	2
117	2
125	2
126	2
127	2
128	2
130	2
132	0
133	0
134	0
135	0
139	0
140	0
144	1
146	1
147	0
148	0
149	1
150	0
151	0
153	0
154	0
158	0
161	0
162	0
166	0
167	0
171	0
172	0
173	0
174	0
177	0
179	0
184	0
187	0
190	3
191	2
193	3
194	2
196	2
197	2
198	3
203	1
206	3
209	1
214	0
216	0
220	0
228	0
229	2
232	0
233	0
235	2
237	2
238	2
239	0
241	3
242	4
244	2
245	2
246	2
247	3
249	2
251	2
252	2
253	0
254	2
255	0
256	0
257	0
258	3
262	4
268	2
271	2
276	0
281	6
282	5
283	4
286	3
287	2
288	2
290	2
291	0
292	0
297	4
299	6
300	0
302	0
304	0
307	4
308	3
309	0
312	0
313	0
314	0
315	6
319	0
324	0
326	2
330	0
331	0
332	0
334	2
335	0
337	1
338	0
342	6
343	0
346	0
348	3
349	4
353	2
355	3
357	3
358	0
365	0
368	0
371	2
373	0
375	1
381	0
383	0
384	4
385	5
386	2
389	4
390	0
391	0
393	0
394	0
395	3
397	3
399	3
401	3
403	0
404	3
406	0
407	2
409	3
415	0
416	0
420	2
421	4
422	4
423	2
426	0
428	2
430	0
433	0
434	2
435	3
438	0
439	2
441	3
447	0
449	5
