Compound Id	Energy of the highest occupied molecular orbital
1	-10.78
2	-10.876
3	-10.576
4	-11.135
5	-10.896
6	-10.668
7	-9.653
8	-13.309
9	-11.766
10	-10.552
11	-11.499
12	-11.338
13	-8.934
14	-11.324
15	-10.74
16	-10.21
17	-10.708
18	-8.945
19	-11.389
20	-8.481
21	-11.291
22	-10.19
23	-10.05
24	-11.19
25	-9.166
26	-10.464
27	-10.899
28	-10.633
29	-9.955
30	-11.009
31	-9.716
32	-9.118
33	-9.262
34	-8.837
35	-9.169
36	-8.961
37	-11.204
38	-10.442
39	-10.413
40	-8.655
41	-8.904
42	-8.444
43	-9.106
44	-9.299
45	-8.998
46	-10.003
47	-9.004
48	-11.21
49	-9.061
50	-11.171
51	-10.007
52	-9.333
53	-10.625
54	-10.695
55	-10.326
56	-11.27
57	-11.117
58	-11.06
59	-9.191
60	-9.152
61	-9.33
62	-11.18
63	-11.11
64	-9.924
65	-11.246
66	-8.657
67	-10.181
68	-9.317
69	-9.217
70	-11.084
71	-10.581
72	-11.218
73	-10.937
74	-9.49
75	-9.93
76	-11.066
77	-10.574
78	-11.064
79	-10.571
80	-9.99
81	-10.612
82	-9.67
83	-9.14
84	-9.411
85	-9.318
86	-10.435
87	-9.231
88	-10.588
89	-10.59
90	-10.443
91	-10.573
92	-11.063
93	-10.572
94	-9.532
95	-11.245
96	-9.44
97	-11.072
98	-9.973
99	-10.014
100	-8.021
101	-8.443
102	-10.983
103	-9.096
104	-9.554
105	-8.938
106	-9.113
107	-9.583
108	-10.169
109	-10.357
110	-9.263
111	-9.086
112	-9.136
113	-11.002
114	-8.748
115	-11.288
116	-9.071
117	-8.94
118	-8.951
119	-8.913
120	-9.541
121	-10.554
122	-9.214
123	-9.926
124	-8.76
125	-9.927
126	-11.013
127	-9.221
128	-9.104
129	-9.533
130	-10.615
131	-9.122
132	-9.452
133	-10.374
134	-10.616
135	-9.636
136	-9.716
137	-10.545
138	-9.792
139	-9.252
140	-9.65
141	-9.604
142	-9.042
143	-8.929
144	-9.03
145	-9.678
146	-10.416
147	-10.451
148	-8.812
149	-9.474
150	-8.839
151	-10.357
152	-9.089
153	-9.121
154	-8.78
155	-9.185
156	-10.164
157	-8.996
158	-9.212
159	-8.833
160	-10.531
161	-10.249
162	-9.542
163	-8.956
164	-9.205
165	-10.43
166	-10.029
