Compound Id	Logarithm of octanol-water partition coefficient
1	10.93
2	9.26
3	9.92
4	9.31
5	8.6
6	9.21
7	7.88
8	10.26
9	9.21
10	7.88
11	9.34
12	7.31
13	8.83
14	9
15	8.89
16	8.61
17	8.91
18	8.02
19	8.99
20	8.99
21	7.04
22	7.29
23	8.73
24	8.29
25	8.83
26	8.83
27	6.58
28	7.55
29	8.27
30	8.27
31	7.34
32	6.7
33	6.12
34	8.32
35	7.31
36	6.84
37	8.2
38	6.64
39	7.05
40	7.36
41	6.88
42	6.12
43	7.82
44	8.43
45	9.16
46	8.16
47	7.7
48	7.91
49	6.12
50	7.31
51	5.66
52	7.58
53	7.59
54	7.07
55	6.88
56	6.84
57	7.71
58	6.12
59	8.1
60	8.27
61	6.62
62	7.32
63	6.12
64	7.57
65	5.86
66	7.82
67	6.12
68	7.33
69	7.45
70	6.12
71	7.09
72	5.76
73	5.25
74	7.69
75	7.69
76	7.45
77	7.04
78	7.69
79	7.69
80	6.51
81	5.66
82	6.06
83	6.71
84	7.11
85	5.34
86	6.84
87	7.56
88	5.51
89	5.88
90	7.1
91	6.59
92	5.91
93	6.02
94	6.26
95	6.51
96	5.74
97	5.51
98	6.97
99	5.66
100	5.86
101	6.51
102	6.76
103	5.92
104	6.05
105	6.73
106	6.69
107	6.61
108	7.17
109	5.19
110	6.85
111	6.85
112	7.69
113	8.71
114	6.38
115	6.74
116	6.51
117	5.52
118	6.66
119	6.97
120	6.13
121	6.76
122	6.97
123	5.91
124	5.66
125	4.99
126	5.25
127	6.16
128	6.29
129	6.38
130	6.16
131	5.49
132	5.46
133	6.06
134	5.17
135	6.38
136	6.06
137	6.26
138	5.98
139	6.74
140	6.64
141	4.49
142	4.92
143	5.41
144	7.38
145	5.8
146	5.67
147	3.7
148	5.92
149	5.8
150	5.92
151	6.38
152	6.41
153	5.92
154	4.95
155	3.95
156	5.09
157	3.65
158	5.43
159	5.32
160	3.87
161	3.95
162	5.92
163	5.95
164	5.67
165	5.34
166	4.99
167	3.95
168	4.95
169	5.65
170	4.99
171	6.11
172	4.99
173	5.05
174	5.15
175	5.46
176	5.94
177	5.15
178	5.08
179	4.8
180	3.3
181	6.39
182	5.35
183	5.67
184	3.88
185	3.47
186	4.73
187	5.57
188	5.29
189	3.38
190	5.69
191	5.5
192	3.69
193	3.93
194	4.75
195	5.5
196	3.36
197	3.81
198	4.45
199	5.09
200	4.33
201	4.39
202	4.69
203	5.8
204	3.58
205	5.54
206	4.62
207	5.49
208	5.21
209	3.05
210	4.96
211	5.21
212	3.52
213	4.19
214	4.64
215	5.21
216	4.38
217	3.27
218	4.93
219	7.2
220	4.99
221	4.57
222	4.74
223	4.56
224	5.29
225	4.49
226	4.74
227	2.62
228	4.16
229	5.05
230	4.8
231	4.25
232	4.53
233	4.23
234	4.78
235	5.69
236	3.14
237	4.97
238	5.06
239	4.33
240	3.78
241	2.99
242	4.25
243	4.96
244	4.11
245	4.97
246	4.81
247	4.9
248	4.07
249	2.28
250	4.31
251	3.79
252	4.74
253	4.91
254	5.24
255	3.78
256	4.64
257	4.54
258	3.74
259	5.09
260	3.37
261	4.02
262	3.41
263	4.37
264	3.82
265	4.26
266	3.87
267	4.46
268	3.15
269	4.31
270	4.94
271	4.54
272	5.06
273	4.39
274	4.03
275	4.76
276	4.75
277	3.4
278	4.41
279	4.53
280	4.59
281	4.18
282	2.55
283	4.27
284	4.09
285	1.75
286	4.04
287	3.78
288	3.84
289	4.13
290	4.44
291	4.49
292	4.87
293	4.4
294	3.75
295	4.53
296	3.75
297	4.35
298	4.28
299	4.8
300	3.06
301	4.39
302	4.27
303	4.39
304	4.13
305	4.44
306	2.8
307	2.78
308	4.25
309	3.85
310	3.75
311	3.77
312	4.19
313	3.2
314	4.18
315	3.55
316	4.65
317	4.75
318	3.67
319	3.98
320	1.92
321	4.14
322	4.79
323	4.39
324	4.27
325	4.39
326	4.03
327	3.86
328	4.31
329	4.11
330	4.34
331	4.14
332	4.39
333	4.14
334	4.4
335	4.1
336	3.85
337	4.14
338	4.17
339	4.05
340	2.92
341	3.93
342	4.37
343	4.18
344	4.78
345	2.67
346	4.34
347	2.27
348	3.55
349	1.89
350	4.47
351	4.5
352	4.31
353	4.03
354	4.63
355	4.55
356	2.19
357	3.84
358	2.05
359	3.65
360	4.94
361	2.07
362	3.29
363	4.04
364	4.21
365	2.25
366	3.87
367	4.23
368	4.68
369	2.89
370	3.98
371	3.22
372	3.92
373	2.08
374	3.07
375	1.83
376	4.35
377	4.35
378	4.49
379	3.38
380	4.11
381	2.08
382	2.74
383	3.74
384	3.05
385	3.62
386	3.77
387	4.04
388	2.29
389	4.03
390	1.74
391	4.24
392	2.66
393	4.96
394	4.1
395	2.89
396	-0.06
397	3.87
398	2.85
399	5.5
400	3.91
401	3.72
402	3.87
403	3.38
404	4.41
405	2.31
406	2.42
407	4.07
408	1.75
409	4.02
410	3.15
411	2.68
412	3.68
413	3.42
414	4.2
415	3.81
416	3.16
417	3.74
418	3.91
419	3.45
420	3.81
421	3.74
422	4.01
423	1.11
424	4.61
425	3.57
426	3.21
427	1.87
428	2.3
429	3.97
430	4.16
431	3.72
432	4
433	3.61
434	1.75
435	2.92
436	3.44
437	2.36
438	3
439	1.69
440	2.63
441	3.32
442	3.79
443	3.61
444	3.98
445	3.87
446	2.4
447	3.98
448	3.5
449	3.35
450	3.35
451	3.67
452	2.04
453	1.69
454	3.7
455	1.62
456	3.71
457	3.19
458	2.91
459	3.03
460	3.25
461	2.39
462	2.32
463	3.64
464	3.66
465	1.63
466	3.88
467	3.37
468	3.54
469	3.88
470	2.98
471	3.48
472	3.24
473	3.74
474	3.59
475	3.32
476	3.49
477	3.57
478	1.93
479	3.31
480	3
481	3.74
482	4.15
483	2.38
484	3.39
485	3.57
486	2.49
487	2.54
488	2.76
489	3.7
490	3.25
491	2.32
492	1.87
493	3.38
494	2.51
495	3.33
496	3.62
497	3.72
498	3.54
499	3.19
500	3.58
501	3.5
502	2.95
503	3.21
504	3.43
505	2.21
506	3.34
507	1.38
508	3.19
509	3.48
510	2.1
511	2.06
512	3.43
513	3.41
514	3.31
515	3.11
516	3.58
517	3.18
518	3.67
519	1.3
520	3.21
521	3.35
522	1.65
523	3.08
524	1.7
525	3.35
526	3.19
527	3.45
528	2.59
529	3.29
530	3.57
531	2.98
532	2.61
533	3.25
534	3.15
535	2.45
536	2.41
537	3.04
538	3.47
539	3.14
540	2.31
541	3.05
542	1.9
543	2.81
544	4.31
545	3.05
546	3.13
547	2.97
548	1.99
549	2.6
550	3.06
551	3.36
552	1.2
553	2.29
554	0.88
555	2.38
556	2.13
557	2.28
558	2.17
559	2.59
560	3.14
561	2.87
562	2.47
563	2.91
564	2.91
565	3.27
566	3.17
567	2.6
568	3.09
569	3.14
570	2.85
571	3.25
572	3.36
573	3.48
574	3.05
575	2.73
576	2.73
577	1.75
578	3.25
579	3.2
580	3.21
581	3.15
582	2.91
583	2.9
584	2.86
585	1.62
586	3.15
587	3.17
588	2.79
589	2.95
590	0.88
591	3.05
592	3.05
593	2.47
594	1.34
595	3.63
596	2.82
597	2.97
598	2.87
599	2.21
600	2.94
601	2.96
602	2.31
603	1.78
604	2.73
605	2.13
606	2.68
607	2.45
608	3.01
609	2.86
610	2.86
611	3.23
612	2.85
613	2.86
