Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-1.65
2	-0.91
3	-2.31
4	-2.72
5	-1.88
6	-2.15
7	-2.49
8	-1.75
9	-1.43
10	-1.07
11	-2.28
12	-1.79
13	-1.37
14	-1.75
15	-0.12
16	0.09
17	0.67
18	1.05
19	-0.03
20	0.53
21	1.22
22	-1.46
23	0.69
24	-0.46
25	-0.07
26	0.12
27	1.25
28	0.17
29	-0.18
30	-1.97
31	-1.44
32	-1.21
33	0.08
34	-0.88
35	-0.77
36	-0.99
37	-1.01
38	-1.09
39	-0.65
40	-0.49
41	-0.45
42	-0.15
43	-0.38
44	0.10
45	0.58
46	1.50
47	1.34
48	2.37
49	0.87
50	1.08
51	0.28
52	1.42
53	0.86
54	0.07
55	-0.24
56	1.79
57	-1.17
58	-1.34
59	2.12
60	0.58
61	0.66
62	-0.81
63	0.66
64	0.62
65	1.90
66	-0.75
67	-0.81
68	-0.03
69	-0.55
70	1.67
71	0.82
72	-0.09
73	-0.48
74	-0.79
75	0.14
76	0.42
77	1.49
78	-1.49
79	-1.25
80	-0.18
81	-1.63
82	-0.04
83	-1.54
84	-1.32
85	-0.80
86	-1.54
87	-0.87
88	-0.69
89	1.34
90	0.62
91	1.58
92	0.77
93	1.81
94	-0.02
95	0.85
96	0.22
97	1.08
98	-0.78
99	0.00
100	-0.50
101	0.12
102	1.04
103	0.57
104	-0.89
105	-1.07
106	0.49
107	0.94
108	-0.65
109	1.49
110	-0.11
111	1.87
112	-0.91
113	1.43
114	-0.96
115	-1.01
116	-1.23
117	-1.44
118	-1.96
119	-0.79
120	0.42
121	-0.77
122	0.37
123	1.41
124	-0.87
125	-0.71
126	-0.84
127	0.80
128	0.11
129	-0.24
130	1.70
131	1.23
132	1.41
133	0.42
134	0.75
135	1.09
136	1.65
137	0.25
138	0.73
139	-0.29
140	-0.25
141	0.18
142	0.91
143	-0.24
144	0.06
145	-0.83
146	-0.82
147	1.07
148	2.47
149	0.14
150	-0.16
151	0.54
152	-0.05
153	-0.65
154	-0.32
155	-1.32
156	1.04
157	0.02
158	-0.03
159	0.21
160	1.79
161	1.41
162	0.38
163	-0.33
164	-0.14
165	-0.02
166	0.42
167	0.03
168	0.76
169	-0.16
170	0.64
171	-0.70
172	1.36
173	0.49
174	-0.87
175	-0.05
176	0.88
177	0.33
178	0.61
179	0.77
180	0.28
181	0.62
182	0.22
183	2.43
184	-0.29
185	0.78
186	1.38
187	0.70
188	0.91
189	0.15
190	-0.01
191	-0.47
192	1.11
193	1.01
194	-0.66
195	-0.82
196	-0.66
197	3.04
198	1.35
199	0.18
200	-0.70
201	1.41
202	0.88
203	2.67
204	0.62
205	3.09
206	1.06
207	-0.19
208	-2.00
209	0.79
210	1.35
211	-0.76
212	-0.24
213	0.71
214	0.23
215	1.60
216	-0.01
217	-1.24
218	0.06
219	-0.49
220	-0.44
221	-1.30
222	-0.04
223	-1.49
224	-1.03
225	-0.33
226	0.43
227	0.51
228	1.44
229	-0.71
230	-0.57
231	-0.48
232	-0.22
233	0.21
234	0.61
235	1.70
236	2.06
237	2.33
238	-0.67
239	-0.56
240	-0.70
241	-0.71
242	2.07
243	0.72
244	2.03
245	0.95
246	1.73
247	0.54
248	2.66
249	2.21
250	1.66
251	1.71
252	1.89
253	1.80
254	2.72
255	2.06
256	1.54
257	1.26
258	-1.22
259	0.63
260	-0.68
261	-0.39
262	0.23
263	1.30
264	-0.01
265	0.40
266	0.29
267	1.41
268	-1.48
269	-0.13
270	0.88
271	0.64
272	0.73
273	0.75
274	0.67
275	-0.47
276	-0.27
277	-0.37
278	0.52
279	-1.01
280	0.10
281	0.08
282	-0.15
283	-0.01
284	0.17
285	0.20
286	-0.06
287	0.39
288	0.18
289	0.82
290	0.26
291	0.69
292	-1.08
293	1.04
294	0.65
295	1.70
296	-0.78
297	0.65
298	0.71
299	0.76
300	-0.10
301	-0.88
302	0.44
303	2.19
304	0.53
305	0.07
306	0.87
307	2.60
308	0.44
309	0.81
310	-0.49
311	1.16
312	-0.36
313	0.63
314	2.24
315	2.57
316	-0.46
317	-1.42
318	-1.49
319	-1.40
320	0.20
321	-0.98
322	0.46
323	0.52
324	-0.74
325	-1.19
326	0.75
327	-1.43
328	-1.84
329	0.99
330	-0.40
331	0.25
332	-0.93
333	-0.20
334	-1.75
335	-0.93
336	-1.03
337	-1.50
