Compound Id	96-h Fathead minnow toxicity as log(1/LC50)
1	-1.77
2	-0.74
3	-2.49
4	-2.96
5	-2.21
6	-2.10
7	-2.64
8	-1.87
9	-1.37
10	-0.73
11	-1.60
12	-1.94
13	-1.29
14	-1.65
15	1.32
16	0.22
17	0.96
18	1.90
19	0.33
20	1.19
21	1.74
22	-1.25
23	1.28
24	-0.13
25	0.39
26	0.55
27	1.83
28	0.66
29	0.17
30	-1.44
31	-1.16
32	-0.73
33	0.94
34	-0.64
35	-0.85
36	-0.19
37	-0.98
38	-0.50
39	-0.14
40	-0.06
41	0.83
42	0.55
43	0.02
44	0.53
45	0.98
46	3.06
47	1.82
48	2.59
49	1.08
50	1.78
51	0.36
52	1.96
53	1.40
54	0.66
55	0.42
56	1.94
57	-1.00
58	-0.63
59	2.74
60	1.44
61	0.97
62	-0.58
63	0.98
64	1.40
65	2.63
66	-0.94
67	0.52
68	0.09
69	-0.02
70	2.19
71	1.11
72	0.25
73	-0.26
74	-0.19
75	0.02
76	0.73
77	2.52
78	-1.59
79	-0.88
80	0.11
81	0.38
82	1.42
83	-1.25
84	-1.09
85	-0.26
86	-1.11
87	-0.46
88	-0.11
89	2.05
90	1.21
91	1.91
92	0.71
93	2.57
94	0.57
95	1.75
96	2.07
97	1.78
98	-0.43
99	0.74
100	0.41
101	1.08
102	1.61
103	2.17
104	-0.11
105	-0.99
106	0.98
107	1.68
108	-0.14
109	2.09
110	0.93
111	2.36
112	-0.54
113	1.58
114	-1.36
115	-0.61
116	-0.87
117	0.06
118	-1.96
119	-1.23
120	1.19
121	-0.59
122	1.17
123	1.80
124	-0.59
125	-0.15
126	-0.04
127	1.29
128	-0.09
129	0.13
130	1.82
131	1.80
132	1.64
133	1.73
134	1.49
135	1.44
136	2.52
137	1.63
138	1.02
139	0.89
140	1.35
141	0.97
142	1.47
143	0.02
144	0.03
145	-0.84
146	-0.73
147	1.17
148	3.20
149	0.87
150	0.82
151	1.32
152	-0.17
153	0.34
154	0.46
155	-0.10
156	1.32
157	0.28
158	0.09
159	1.07
160	2.78
161	1.62
162	1.80
163	0.23
164	0.05
165	0.78
166	1.02
167	0.22
168	0.85
169	-0.87
170	1.09
171	-0.02
172	1.58
173	-0.01
174	-0.14
175	0.54
176	1.34
177	0.95
178	0.57
179	0.77
180	1.22
181	0.59
182	0.37
183	3.23
184	-0.22
185	1.10
186	1.80
187	0.67
188	2.33
189	-0.43
190	-0.68
191	-0.01
192	2.19
193	2.31
194	-1.07
195	-0.45
196	-1.19
197	4.29
198	1.74
199	0.60
200	-0.03
201	1.74
202	1.34
203	2.59
204	1.83
205	2.94
206	1.24
207	0.66
208	-0.73
209	1.85
210	1.98
211	-1.22
212	1.08
213	1.66
214	0.84
215	2.40
216	1.14
217	0.23
218	1.21
219	0.81
220	0.21
221	-0.42
222	1.52
223	-0.45
224	1.02
225	1.42
226	1.56
227	1.71
228	2.49
229	-0.72
230	-0.56
231	-0.31
232	0.25
233	0.72
234	1.40
235	1.82
236	2.18
237	2.91
238	-0.58
239	-1.13
240	-1.21
241	-0.51
242	3.04
243	1.07
244	1.70
245	1.74
246	2.11
247	0.67
248	3.72
249	2.35
250	2.23
251	2.73
252	2.93
253	2.65
254	2.75
255	3.06
256	3.19
257	1.63
258	-0.41
259	0.73
260	2.11
261	0.94
262	0.51
263	2.37
264	0.92
265	1.81
266	1.79
267	3.45
268	-0.43
269	0.81
270	0.63
271	0.88
272	0.92
273	0.93
274	1.35
275	0.73
276	-0.24
277	0.65
278	1.60
279	-1.53
280	0.70
281	1.96
282	0.82
283	0.36
284	0.96
285	1.18
286	0.92
287	0.88
288	0.10
289	2.25
290	0.69
291	1.38
292	-0.24
293	1.99
294	1.59
295	2.29
296	0.76
297	1.58
298	2.16
299	2.02
300	0.60
301	0.53
302	0.73
303	3.09
304	1.69
305	0.73
306	-0.08
307	3.72
308	0.60
309	1.17
310	0.49
311	1.38
312	0.30
313	2.31
314	4.78
315	3.80
316	-0.30
317	0.34
318	-0.41
319	-0.93
320	0.69
321	-0.27
322	1.00
323	1.47
324	1.56
325	0.21
326	1.08
327	0.84
328	0.29
329	2.16
330	0.78
331	0.41
332	-1.53
333	-0.44
334	-1.90
335	-1.53
336	-1.65
337	-1.18
