Compound Id	OH radical degradation rate constant as -logk(OH)
1	10.82
2	10.92
3	10.87
4	10.19
5	9.93
6	11.52
7	12.5
8	12.22
9	12.03
10	11.26
11	12.2
12	13
13	11.27
14	11.08
15	10.97
16	11.91
17	13.8
18	13.46
19	12.59
20	11.11
21	12.06
22	13.36
23	10.66
24	13.52
25	10.47
26	12.46
27	11.94
28	11.21
29	12.41
30	11.18
31	11.26
32	10.56
33	10.82
34	10.33
35	12.84
36	13.93
37	11.37
38	11.21
39	13.1
40	11.63
41	12.37
42	10.37
43	12.59
44	10.84
45	13.17
46	13.43
47	11.7
48	13.54
49	14.32
50	15.7
51	10.22
52	12.31
53	11.97
54	10.47
55	14.33
56	11.58
57	13.98
58	11.52
59	11.92
60	11.41
61	10.26
62	11.41
63	10
64	10.54
65	10.53
66	12.36
67	11.94
68	10.71
69	10.76
70	12.5
71	11.63
72	11.8
73	12.77
74	12.82
75	11.21
76	11.7
77	12.6
78	10.27
79	10.26
80	9.99
81	10.47
82	11.27
83	10.89
84	12.16
85	12.05
86	10.28
87	10.67
88	10.28
89	11.08
90	10.91
91	10.37
92	12.38
93	10.49
94	10.09
95	9.72
96	10.1
97	11.25
98	12.37
99	11.68
100	10.97
101	11.34
102	12.34
103	12.62
104	11.23
105	10.23
106	11.56
107	12.8
108	12.02
109	11.18
110	9.5
111	9.75
112	9.44
113	10.82
114	10.1
115	11.1
116	10.24
117	11.55
118	12.48
119	10.64
120	10.93
121	10.71
122	11.22
123	11.78
124	11.27
125	11.31
126	11.13
127	10.15
128	11.4
129	10.89
130	10.32
131	12.5
132	10.08
133	11.68
134	12.36
135	12.6
136	11.6
137	10.5
138	10.17
139	11.09
140	10.72
141	10.34
142	10.77
143	12.66
144	11.85
145	12.71
146	11.32
147	11.11
148	10.85
149	10.48
150	12.64
151	11.25
152	11.3
153	11.62
154	10.33
155	12.47
156	11.29
157	10.85
158	12.15
159	11.51
160	10.64
161	10.17
162	10.24
163	9.95
164	10.56
165	12.16
166	10.98
167	11.21
168	12.17
169	11.19
170	10.59
171	10.95
172	11.46
173	11.39
174	10.5
175	10.36
176	10.9
177	11.99
178	11.75
179	10
180	10.79
181	10.39
182	10.7
183	11.02
184	11.15
185	11.27
186	11.06
187	11.26
188	10.56
189	11.62
190	10.92
191	11.13
192	10.17
193	12.31
194	11.17
195	10.96
196	10.89
197	10.91
198	10.6
199	10.66
200	10.78
201	10.52
202	10.7
203	11.05
204	10.87
205	10.85
206	11.98
207	10.76
208	10.57
209	10.86
210	10.56
211	11.46
212	10.26
213	11.52
214	10.47
215	10.1
216	12.27
217	11.98
218	11.53
219	9.92
220	9.83
221	9.67
222	10.71
223	11.94
224	10.6
225	10.44
226	11.37
227	10.96
228	11.95
229	10.18
230	10.55
231	10.93
232	12.77
233	10.1
234	11.51
235	9.77
236	11
237	11.77
238	12.22
239	10.17
240	10.86
241	11.14
242	10.56
243	11.22
244	10.16
245	11.03
246	11.62
247	11.75
248	9.96
249	10.43
250	11.26
251	10.83
252	10.64
253	11.92
254	11.28
255	10.45
256	11.01
257	11.85
258	12.84
259	10.93
260	10.86
261	10.19
262	13.44
263	10.84
264	12.64
265	14.6
266	14.28
267	12.79
268	14.77
269	13.74
270	13.28
271	10.8
272	13.71
273	12.27
274	10.78
275	11.01
276	10.76
277	12.06
278	11.28
279	10.7
280	10.69
281	10.6
282	11.04
283	10.44
284	10.31
285	10.53
286	11.04
287	11.13
288	10.06
289	10.38
290	10.4
291	9.91
292	10.49
293	10.1
294	12.1
295	11.85
296	11.45
297	10.28
298	12.14
299	11.27
300	12.17
301	11.62
302	11.28
303	10.01
304	12.57
305	9.78
306	12.6
307	10.55
308	10.49
309	10.22
310	9.96
311	10.83
312	11.16
313	11.27
314	11.24
315	11.78
316	10.18
317	10.12
318	11.25
319	10.91
320	9.65
321	11.16
322	10.26
323	10.58
324	10.54
325	10.03
326	12.03
327	11.04
328	10.27
329	10.45
330	10.43
331	10.21
332	9.95
333	9.79
334	10.39
335	11.51
336	10.81
337	13.8
338	11.17
339	13.38
340	13.1
341	11.98
342	10.25
343	9.97
344	13.47
345	10.92
346	10.92
347	10.77
348	10.52
349	10.95
350	11.52
351	10.23
352	12.95
353	11.07
354	9.7
355	10.04
356	12.31
357	10.92
358	11.81
359	12.14
360	10.95
361	10.18
362	9.92
363	11.48
364	10.79
365	10
366	10.59
367	10.64
368	10.13
369	11.81
370	10.65
371	11.09
372	10.18
373	10.22
374	10.26
375	10.9
376	10.88
377	10.46
378	10.96
379	10.2
380	10.1
381	9.68
382	14.05
383	10.28
384	9.96
385	10.91
386	10.23
387	11.22
388	12.07
389	9.88
390	11.85
391	10.03
392	10.39
393	11.1
394	11.1
395	11.88
396	10.95
397	12.06
398	10
399	11.55
400	13.72
401	12.75
402	11.24
403	10.48
404	10.27
405	10
406	11.55
407	11.28
408	11.41
409	11.48
410	11.01
411	10.22
412	10.63
413	9.96
414	13.91
415	10.25
416	11.42
417	11.06
418	11
419	10.75
420	9.98
421	11.55
422	10
423	9.6
424	10.02
425	9.86
426	11.42
427	9.87
428	10.76
429	9.87
430	11.17
431	10.95
432	10.16
433	10.93
434	10.04
435	10.85
436	11.08
437	10.85
438	10.01
439	10.06
440	9.6
441	10.72
442	10.17
443	10.16
444	10.2
445	9.93
446	11.73
447	11.5
448	11.02
449	11.05
450	10.48
451	11.6
452	11.95
453	11.57
454	11.43
455	11.41
456	9.74
457	11.52
458	11.76
459	11.77
460	11.52
