Compound Id	D73
1	1.584963
2	2.251629
3	2.521641
4	1.584963
5	2.404793
6	2.247927
7	1.938679
8	1.824046
9	2.299896
10	2.411602
11	1.448816
12	2.419382
13	2.646439
14	1.918296
15	1.792481
16	2.419382
17	2.405639
18	2.299896
19	2.370951
20	2.521641
21	2.128085
22	2.155639
23	1.921928
24	0.721928
25	1.392147
26	1.392147
27	1.950212
28	2.725481
29	2.64644
30	0.811278
31	2.281036
32	2.641604
33	2.419382
34	2.419382
35	2.251629
36	0.918296
37	2.584962
38	2.725481
39	2.5
40	2.663533
41	2.721928
42	2.521641
43	1.950212
44	2.128085
45	1.378783
46	2.281036
47	2.222192
48	1.521928
49	1.921928
50	2.251629
51	1.918296
52	2.251629
53	1.584963
54	0.918296
55	1.309297
56	2.222192
57	2.550341
58	2.481715
59	1.198184
60	2.034941
61	2.353534
62	2.345852
63	0.892943
64	1.506443
65	1.758843
66	1.815855
67	1
68	0.918296
69	0.986427
70	1.668839
71	1.944717
72	1.991076
73	1.5
74	2.5
75	2.75
76	2.25
77	1.022421
78	1.73136
79	2.01574
80	2.056326
81	1.556657
82	2.521641
83	2.521641
84	2.725481
85	1.5
86	1.5
87	0
88	0.921928
89	1.55678
90	1.816642
91	1.870951
92	1.370951
93	2.321928
94	2.646439
95	2.521928
96	2.947703
97	0.953014
98	1.610785
99	1.878477
100	1.929309
101	1.435521
102	2.419382
103	2.725481
104	2.503258
105	1.061278
106	1.798795
107	2.091917
108	2.125
109	1.584963
110	2.251629
111	1.918296
112	2.521641
113	2.521641
114	2.521641
115	2.521641
116	1.556657
117	1.378783
118	2
119	1
120	0.811278
121	1.921928
122	1.921928
123	1.918296
124	1.521928
125	1.103307
126	1.871602
127	2.173557
128	2.196792
129	1.148835
130	1.950212
131	2.26082
132	2.270942
133	1.251629
134	2.125815
135	2.450826
136	2.418296
137	2.985228
138	2.419382
139	2.419382
140	2.845351
141	2.413088
142	3.007196
143	3.007196
144	3.68188
145	3.68188
146	3.68188
147	3.68188
148	3.128085
149	2.721928
150	2.725481
151	2.921928
152	2.921928
153	2.947703
154	3.392747
155	2.281036
156	2.606239
157	2.792481
