Compound Id	X1
1	8
2	14
3	10
4	8
5	32
6	34
7	32
8	36
9	20
10	26
11	14
12	18
13	18
14	12
15	12
16	18
17	16
18	22
19	20
20	14
21	14
22	14
23	10
24	10
25	12
26	16
27	12
28	18
29	18
30	14
31	18
32	18
33	18
34	18
35	12
36	12
37	24
38	18
39	16
40	22
41	20
42	14
43	14
44	14
45	14
46	18
47	22
48	10
49	10
50	10
51	10
52	10
53	10
54	10
55	22
56	22
57	22
58	22
59	26
60	26
61	26
62	26
63	42
64	42
65	42
66	42
67	6
68	6
69	36
70	36
71	36
72	36
73	16
74	16
75	16
76	16
77	34
78	34
79	34
80	34
81	14
82	14
83	14
84	14
85	14
86	14
87	4
88	40
89	40
90	40
91	40
92	20
93	20
94	20
95	20
96	16
97	38
98	38
99	38
100	38
101	18
102	18
103	18
104	18
105	32
106	32
107	32
108	32
109	12
110	12
111	12
112	12
113	12
114	12
115	12
116	12
117	12
118	6
119	8
120	8
121	8
122	8
123	8
124	8
125	30
126	30
127	30
128	30
129	28
130	28
131	28
132	28
133	24
134	24
135	24
136	24
137	22
138	10
139	10
140	16
141	16
142	26
143	26
144	26
145	26
146	26
147	26
148	16
149	14
150	12
151	14
152	14
153	12
154	14
155	12
156	14
157	12
158	16
159	10
160	14
161	10
162	14
163	22
164	10
165	22
166	18
167	10
168	14
169	14
170	14
171	16
172	10
173	14
174	14
175	12
176	14
177	14
178	18
179	44
180	12
181	14
182	18
183	22
184	14
185	14
186	10
187	18
188	24
189	12
190	14
191	18
192	10
193	44
194	14
195	14
196	30
197	22
198	42
199	38
200	38
201	16
202	24
203	16
204	16
205	14
206	16
207	16
208	12
209	22
210	34
211	28
212	22
213	34
214	28
215	30
216	14
217	14
218	24
219	30
220	30
221	42
222	16
223	28
224	14
225	46
226	46
227	32
228	10
229	6
230	10
231	20
232	16
233	12
234	46
235	8
236	10
237	40
238	38
239	10
240	14
241	16
242	12
243	14
244	26
245	30
246	20
247	18
248	12
249	28
250	44
251	24
252	42
253	22
254	28
255	26
256	36
257	16
258	16
259	18
260	14
261	20
262	14
263	20
264	14
265	14
266	20
267	34
268	12
269	8
270	32
271	10
272	10
273	10
274	10
275	24
276	12
277	12
278	10
279	6
280	8
281	10
282	12
283	12
284	24
285	10
286	8
287	12
288	16
289	16
290	10
291	8
292	14
293	14
294	6
295	6
296	6
297	12
298	10
299	8
300	14
301	22
302	46
303	30
304	42
305	14
306	22
307	46
308	10
309	10
310	38
311	10
312	8
313	12
314	24
315	6
316	8
317	10
318	10
319	20
320	14
321	12
322	16
323	18
324	16
325	8
326	14
327	14
328	14
329	12
330	14
331	12
332	16
333	10
334	4
335	6
336	14
337	14
338	30
339	32
340	34
341	14
342	8
343	14
344	50
345	20
346	48
347	52
348	20
349	12
350	16
351	92
352	98
353	104
354	26
355	74
356	98
357	110
358	86
359	10
360	8
361	10
362	38
363	40
364	38
365	42
366	14
367	16
368	28
369	32
370	48
371	12
372	40
373	10
374	26
375	24
376	12
377	14
378	36
379	34
380	30
381	20
382	40
383	44
384	24
385	52
386	22
387	30
388	48
389	42
390	12
391	20
392	34
393	12
394	14
395	10
396	18
397	10
398	12
399	34
400	8
401	8
402	42
403	58
404	32
405	48
406	28
407	34
408	30
409	52
410	12
411	6
412	4
413	8
414	12
415	20
416	10
417	22
418	14
419	18
420	18
421	34
422	36
423	34
424	38
425	10
426	10
427	12
428	8
429	12
430	24
431	28
432	44
433	8
434	16
435	38
436	18
437	36
438	16
439	12
440	14
441	6
442	22
443	40
444	20
445	14
446	8
447	10
448	32
449	30
450	24
451	26
452	10
453	10
454	14
455	18
456	56
457	36
458	42
459	46
460	32
461	36
462	16
463	44
464	14
465	40
466	42
467	16
468	14
469	16
470	28
471	32
472	12
473	40
474	10
475	44
476	12
477	14
478	36
479	18
480	30
481	34
482	14
483	22
484	20
485	12
486	16
487	38
488	40
489	26
490	10
491	38
492	42
493	36
494	40
495	36
496	44
497	10
498	18
499	16
500	8
501	8
502	12
503	18
504	10
505	18
506	34
507	32
508	32
509	32
510	32
511	32
512	32
513	32
514	32
515	32
516	32
517	34
518	32
519	36
520	22
521	8
522	10
523	8
524	10
525	22
526	26
527	42
528	6
529	44
530	36
531	16
532	12
533	34
534	14
535	4
536	40
537	20
538	38
539	18
540	10
541	32
542	6
543	8
544	30
545	28
546	24
547	44
548	10
549	8
550	12
551	14
552	22
553	20
554	36
555	40
556	50
557	24
558	40
559	20
560	48
561	18
562	26
563	44
564	40
565	42
566	40
567	44
568	18
569	30
570	34
571	50
572	14
573	42
574	12
575	28
576	46
577	16
578	38
579	36
580	32
581	36
582	38
583	36
584	40
585	12
586	26
587	30
588	46
589	38
590	24
591	42
592	10
593	34
594	32
595	28
596	42
597	12
598	40
599	10
600	44
601	14
602	16
603	12
604	10
605	32
606	30
607	38
608	30
609	26
610	24
611	28
612	38
613	28
614	32
615	24
616	20
617	36
618	16
619	16
620	16
621	18
622	20
623	16
624	14
625	50
626	28
627	32
628	20
629	18
630	24
631	26
632	38
633	30
634	30
635	44
636	40
637	32
638	32
639	16
640	20
641	10
642	22
643	40
644	40
645	16
646	16
647	24
648	38
649	24
650	38
651	34
652	16
653	12
654	52
655	52
656	16
657	22
658	20
659	18
660	26
661	16
662	14
663	16
664	16
665	18
666	20
667	18
668	14
669	8
670	8
671	12
672	18
673	8
674	12
675	16
676	6
677	10
678	32
679	12
680	36
681	52
682	12
683	16
684	14
685	46
686	26
687	44
688	24
689	18
690	16
691	14
692	8
693	12
694	10
695	50
696	30
697	48
698	28
699	34
700	42
701	22
702	16
703	14
704	18
705	16
706	24
707	26
708	26
709	16
710	20
711	26
712	40
713	16
714	16
715	16
716	18
717	38
718	34
719	48
720	48
721	48
722	48
723	48
724	48
725	10
726	12
727	10
728	14
729	12
730	12
731	14
732	16
733	10
734	12
735	12
736	8
737	14
738	12
739	16
740	10
741	10
742	12
743	16
744	14
745	12
746	16
747	32
748	10
749	16
750	32
751	32
752	10
753	16
754	32
755	30
756	30
757	36
758	36
759	36
760	36
761	36
762	36
763	36
764	36
765	36
766	36
767	12
768	10
769	14
770	12
771	14
772	10
773	10
774	16
775	16
776	14
777	12
778	12
779	8
780	32
781	12
782	12
783	10
784	16
785	14
786	14
787	16
788	16
789	16
790	14
791	14
792	18
793	16
794	14
795	14
796	10
797	8
798	12
799	14
800	12
801	10
802	34
803	12
804	12
805	12
806	16
807	14
808	12
809	10
810	14
811	14
812	42
813	18
814	34
815	34
816	8
817	6
818	12
819	10
820	14
821	8
822	20
823	18
824	24
825	14
826	14
827	12
828	12
829	34
830	12
831	10
832	32
833	8
834	18
835	16
836	16
837	14
838	36
839	10
840	30
841	6
842	28
843	26
844	22
845	50
846	50
847	50
848	44
849	44
850	34
851	34
852	36
853	36
854	28
855	32
856	24
857	24
858	36
859	36
860	32
861	32
862	24
863	28
864	28
865	32
866	32
867	36
868	36
869	40
870	40
871	44
872	44
873	34
874	34
875	36
876	36
877	32
878	24
879	36
880	36
881	32
882	24
883	28
884	28
885	32
886	32
887	36
888	36
889	40
890	40
891	26
892	26
893	26
894	34
895	34
896	34
897	34
898	38
899	34
900	38
901	34
902	38
903	34
904	42
905	50
906	42
907	50
908	42
909	50
910	22
911	20
912	22
913	20
914	24
915	28
916	44
917	38
918	18
919	36
920	16
921	42
922	22
923	40
924	20
925	34
926	32
927	30
928	26
929	14
930	26
931	20
932	18
933	22
934	16
935	12
936	16
937	20
938	18
939	18
940	22
941	20
942	22
943	20
944	20
945	18
946	22
947	20
948	34
949	34
950	34
951	26
952	20
953	22
954	14
955	26
956	20
957	18
958	22
959	16
960	20
961	18
962	22
963	20
964	20
965	18
966	22
967	22
968	22
969	20
970	16
971	26
972	26
973	16
974	26
975	26
976	20
977	18
978	16
979	20
980	22
981	22
982	26
983	20
984	18
985	28
986	28
987	26
988	20
989	22
990	62
991	30
992	30
993	30
994	26
995	22
996	26
997	46
998	26
999	18
1000	22
1001	20
1002	20
1003	22
1004	20
1005	22
1006	18
1007	20
1008	22
1009	26
1010	30
1011	46
1012	40
1013	20
1014	38
1015	18
1016	44
1017	24
1018	42
1019	22
1020	36
1021	16
1022	34
1023	32
1024	28
1025	22
1026	20
1027	24
1028	28
1029	44
1030	18
1031	36
1032	16
1033	22
1034	40
1035	20
1036	14
1037	20
1038	18
1039	22
1040	16
1041	20
1042	22
1043	22
1044	20
1045	18
1046	22
1047	20
1048	22
1049	20
1050	38
1051	42
1052	34
1053	32
1054	30
1055	26
1056	20
1057	38
1058	42
1059	34
1060	32
1061	30
1062	26
1063	22
1064	26
1065	20
1066	24
1067	22
1068	22
1069	22
1070	24
1071	18
1072	22
1073	20
1074	26
1075	28
1076	32
1077	48
1078	42
1079	22
1080	40
1081	46
1082	26
1083	44
1084	24
1085	38
1086	36
1087	34
1088	30
1089	20
1090	34
1091	34
1092	38
1093	22
1094	34
1095	34
1096	34
1097	38
1098	22
1099	34
1100	34
1101	28
1102	22
1103	38
1104	34
1105	28
1106	38
1107	34
1108	28
1109	34
1110	28
1111	38
1112	34
1113	28
1114	34
1115	34
1116	38
1117	34
1118	34
1119	34
1120	38
1121	34
1122	36
1123	44
1124	34
1125	34
1126	38
1127	34
1128	34
1129	38
1130	34
1131	34
1132	38
1133	38
1134	38
1135	50
1136	38
1137	6
1138	10
1139	14
1140	12
1141	4
1142	10
1143	22
1144	26
1145	42
1146	36
1147	16
1148	34
1149	14
1150	40
1151	20
1152	38
1153	18
1154	32
1155	12
1156	8
1157	30
1158	28
1159	24
