ID,InchiCode
1,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
2,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3"
3,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+"
4,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3"
5,"InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2"
6,"InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2"
7,"InChI=1S/C5H8O2/c1-3-4-5(6)7-2/h3-4H,1-2H3/b4-3+"
8,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3"
9,"InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3"
10,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
11,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
12,"InChI=1S/C5H6O2/c1-3-5(6)7-4-2/h1H,4H2,2H3"
13,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3"
14,InChI=1S/C5H6O2/c1-3-4-5(6)7-2/h1-2H3
15,"InChI=1S/C5H8O2/c1-3-4-5(6)7-2/h3-4H,1-2H3/b4-3+"
16,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3"
17,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3"
18,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2"
19,"InChI=1S/C6H10O/c1-4-5(2)6(3)7/h4H,1-3H3/b5-4-"
20,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3/b4-3+"
21,"InChI=1S/C6H10O/c1-3-4-6(2)5-7/h4-5H,3H2,1-2H3/b6-4+"
22,"InChI=1S/C5H6O2/c1-3-5(6)7-4-2/h3-4H,1-2H2"
