Compound Id	2-day Tetrahymena toxicity as log(1/IGC50) (density adjusted)
1	-2.67
2	-2.31
3	-1.75
4	-1.43
5	-1.03
6	-0.38
7	-0.77
8	0.10
9	0.58
10	0.85
11	1.33
12	2.08
13	2.18
14	2.39
15	-1.88
16	-1.54
17	-1.16
18	0.00
19	0.62
20	-1.24
21	0.03
22	0.85
23	-1.37
24	-1.79
25	-0.95
26	-1.04
27	-1.00
28	-1.17
29	-0.87
30	-0.74
31	-0.64
32	0.13
33	0.17
34	-0.17
35	-1.13
36	-1.25
37	-0.57
38	-1.36
39	-1.50
40	-0.47
41	-0.81
42	-0.75
43	-0.85
44	-0.38
45	-1.03
46	-1.25
47	-1.08
48	-1.04
49	-0.57
50	-0.38
51	-0.19
52	0.19
53	0.66
54	0.99
55	2.30
56	0.07
57	-1.19
58	-0.46
