Compound Id	Maximum superdelocalizability
1	0.24
2	0.24
3	0.24
4	0.24
5	0.24
6	0.24
7	0.24
8	0.24
9	0.24
10	0.24
11	0.24
12	0.24
13	0.24
14	0.24
15	0.24
16	0.24
17	0.24
18	0.24
19	0.24
20	0.24
21	0.24
22	0.24
23	0.24
24	0.24
25	0.24
26	0.24
27	0.24
28	0.24
29	0.24
30	0.25
31	0.25
32	0.25
33	0.25
34	0.25
35	0.25
36	0.25
37	0.25
38	0.25
39	0.25
40	0.25
41	0.25
42	0.25
43	0.26
44	0.26
45	0.26
46	0.26
47	0.26
48	0.26
49	0.26
50	0.26
51	0.26
52	0.26
53	0.26
54	0.26
55	0.26
56	0.26
57	0.26
58	0.26
59	0.26
60	0.26
61	0.26
62	0.26
63	0.26
64	0.26
65	0.26
66	0.26
67	0.26
68	0.26
69	0.26
70	0.26
71	0.26
72	0.26
73	0.26
74	0.27
75	0.27
76	0.27
77	0.27
78	0.27
79	0.27
80	0.27
81	0.27
82	0.27
83	0.27
84	0.27
85	0.27
86	0.28
87	0.28
88	0.28
89	0.28
90	0.28
91	0.28
92	0.28
93	0.29
94	0.29
95	0.29
96	0.29
97	0.29
98	0.29
99	0.29
100	0.29
101	0.29
102	0.29
103	0.29
104	0.29
105	0.29
106	0.30
107	0.30
108	0.30
109	0.30
110	0.30
111	0.30
112	0.30
113	0.30
114	0.30
115	0.30
116	0.30
117	0.30
118	0.30
119	0.30
120	0.30
121	0.31
122	0.31
123	0.31
124	0.31
125	0.31
126	0.31
127	0.31
128	0.31
129	0.31
130	0.31
131	0.31
132	0.32
133	0.32
134	0.32
135	0.32
136	0.32
137	0.32
138	0.32
139	0.32
140	0.33
141	0.33
142	0.33
143	0.33
144	0.33
145	0.33
146	0.33
147	0.33
148	0.33
149	0.34
150	0.34
151	0.34
152	0.34
153	0.34
154	0.34
155	0.34
156	0.34
157	0.34
158	0.34
159	0.34
160	0.35
161	0.35
162	0.35
163	0.35
164	0.35
165	0.35
166	0.35
167	0.35
168	0.35
169	0.35
170	0.36
171	0.36
172	0.36
173	0.37
174	0.37
175	0.37
176	0.37
177	0.37
178	0.37
179	0.37
180	0.38
181	0.38
182	0.38
183	0.38
184	0.38
185	0.39
186	0.39
187	0.39
188	0.40
189	0.40
190	0.40
191	0.41
192	0.41
193	0.42
194	0.42
195	0.42
196	0.43
197	0.44
198	0.45
199	0.47
200	0.47
201	0.24
202	0.25
203	0.25
204	0.25
205	0.26
206	0.26
207	0.26
208	0.27
209	0.28
210	0.29
211	0.29
212	0.30
213	0.30
214	0.31
215	0.32
216	0.33
217	0.34
218	0.34
219	0.36
220	0.37
