ID,InchiCode
1,"InChI=1S/C10H22O/c1-5-10(4,11)8-6-7-9(2)3/h9,11H,5-8H2,1-4H3"
2,"InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-10(11)12-2/h3-9H2,1-2H3"
3,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
4,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
5,"InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h8-9H,3-4,7H2,1-2H3"
6,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3"
7,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
8,"InChI=1S/C12H24O/c1-3-4-5-6-7-8-9-10-11-12(2)13/h3-11H2,1-2H3"
9,"InChI=1S/C4H6O/c1-2-3-4-5/h1,5H,3-4H2"
10,InChI=1S/C5H4ClN.ClH/c6-5-1-3-7-4-2-5;/h1-4H;1H
11,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"
12,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2"
13,"InChI=1S/C9H16O/c1-4-5-6-9(10)7-8(2)3/h8-10H,4,7H2,1-3H3"
14,"InChI=1S/C5HCl4NS/c6-1-3(11)2(7)5(9)10-4(1)8/h(H,10,11)"
15,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
16,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3
17,"InChI=1S/C11H16O/c1-2-3-4-5-10-6-8-11(12)9-7-10/h6-9,12H,2-5H2,1H3"
18,"InChI=1S/C4H6O/c1-2-3-4-5/h5H,4H2,1H3"
19,"InChI=1S/C10H22O2/c11-9-7-5-3-1-2-4-6-8-10-12/h11-12H,1-10H2"
20,"InChI=1S/C6H10O4/c1-9-5(7)3-4-6(8)10-2/h3-4H2,1-2H3"
21,"InChI=1S/C11H10O/c1-8-6-7-9-4-2-3-5-10(9)11(8)12/h2-7,12H,1H3"
22,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3"
23,"InChI=1S/C10H18O4/c1-13-9(11)7-5-3-4-6-8-10(12)14-2/h3-8H2,1-2H3"
24,"InChI=1S/C2H5NO/c1-2-3-4/h2,4H,1H3/b3-2+"
25,"InChI=1S/C5H4ClNO/c6-4-2-1-3-5(8)7-4/h1-3H,(H,7,8)"
26,"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H"
27,"InChI=1S/C10H12N2O5/c1-10(2,3)6-4-7(11(14)15)9(13)8(5-6)12(16)17/h4-5,13H,1-3H3"
28,"InChI=1S/C8H12O2/c1-3-5-6-7-8(9)10-4-2/h3-5H2,1-2H3"
29,"InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,8H2"
30,"InChI=1S/C3H6N2O2/c4-2(6)1-3(5)7/h1H2,(H2,4,6)(H2,5,7)"
31,"InChI=1S/C6H4N2O5/c9-6-2-4(7(10)11)1-5(3-6)8(12)13/h1-3,9H"
32,InChI=1S/C6Cl4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11
33,"InChI=1S/C6H10O/c1-3-4-5-6(2)7/h6-7H,3H2,1-2H3"
34,InChI=1S/C6H2Cl4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11/h11-12H
35,"InChI=1S/C4H6O2/c1-3-2-4(5)6-3/h3H,2H2,1H3"
36,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2"
37,"InChI=1S/C3H6BrNO/c1-2(4)3(5)6/h2H,1H3,(H2,5,6)"
38,"InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2"
39,"InChI=1S/C6H4O4/c7-3-1-4(8)6(10)2-5(3)9/h1-2,7,10H"
40,InChI=1S/C6H2Cl2N2O4/c7-3-1-4(8)6(10(13)14)5(2-3)9(11)12/h1-2H
41,InChI=1S/C5H2Cl2N2O2/c6-4-2-1-3(9(10)11)5(7)8-4/h1-2H
42,"InChI=1S/C5H8O3/c1-2-5(7)8-4-3-6/h2,6H,1,3-4H2"
43,"InChI=1S/C4H8O2.Na/c1-2-3-4(5)6;/h2-3H2,1H3,(H,5,6);/q;+1/p-1"
44,"InChI=1S/C6H8O/c1-3-4-5-6(2)7/h3H2,1-2H3"
45,"InChI=1S/C7H8O3/c1-10-7-4-5(8)2-3-6(7)9/h2-4,8-9H,1H3"
46,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
47,"InChI=1S/C3H6O2S/c1-3-6(2,4)5/h3H,1H2,2H3"
48,InChI=1S/C5H2ClN3O4/c6-5-4(9(12)13)1-3(2-7-5)8(10)11/h1-2H
49,"InChI=1S/C2H4BrNO/c3-1-2(4)5/h1H2,(H2,4,5)"
50,InChI=1S/C6H3ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3H
