ID,InchiCode
1,"InChI=1S/C12H10N4O6S/c13-8-1-3-12(4-2-8)23(21,22)14-9-5-10(15(17)18)7-11(6-9)16(19)20/h1-7,14H,13H2"
2,"InChI=1S/C12H10ClN3O4S/c13-8-5-10(7-11(6-8)16(17)18)15-21(19,20)12-3-1-9(14)2-4-12/h1-7,15H,14H2"
3,"InChI=1S/C12H11N3O4S/c13-9-1-7-12(8-2-9)20(18,19)14-10-3-5-11(6-4-10)15(16)17/h1-8,14H,13H2"
4,"InChI=1S/C12H10ClN3O4S/c13-11-6-3-9(7-12(11)16(17)18)15-21(19,20)10-4-1-8(14)2-5-10/h1-7,15H,14H2"
5,"InChI=1S/C13H11N3O2S/c14-9-10-1-5-12(6-2-10)16-19(17,18)13-7-3-11(15)4-8-13/h1-8,16H,15H2"
6,"InChI=1S/C12H13N3O4S2/c13-9-1-5-12(6-2-9)21(18,19)15-10-3-7-11(8-4-10)20(14,16)17/h1-8,15H,13H2,(H2,14,16,17)"
7,"InChI=1S/C12H10Cl2N2O2S/c13-8-5-9(14)7-11(6-8)16-19(17,18)12-3-1-10(15)2-4-12/h1-7,16H,15H2"
8,"InChI=1S/C12H11N3O4S/c13-9-4-6-12(7-5-9)20(18,19)14-10-2-1-3-11(8-10)15(16)17/h1-8,14H,13H2"
9,"InChI=1S/C14H14N2O3S/c1-10(17)11-2-6-13(7-3-11)16-20(18,19)14-8-4-12(15)5-9-14/h2-9,16H,15H2,1H3"
10,"InChI=1S/C12H13N3O4S2/c13-9-4-6-11(7-5-9)21(18,19)15-10-2-1-3-12(8-10)20(14,16)17/h1-8,15H,13H2,(H2,14,16,17)"
11,"InChI=1S/C13H11N3O2S/c14-9-10-2-1-3-12(8-10)16-19(17,18)13-6-4-11(15)5-7-13/h1-8,16H,15H2"
12,"InChI=1S/C12H11ClN2O2S/c13-9-2-1-3-11(8-9)15-18(16,17)12-6-4-10(14)5-7-12/h1-8,15H,14H2"
13,"InChI=1S/C14H14N2O3S/c1-10(17)11-3-2-4-13(9-11)16-20(18,19)14-7-5-12(15)6-8-14/h2-9,16H,15H2,1H3"
14,"InChI=1S/C12H11ClN2O2S/c13-9-1-5-11(6-2-9)15-18(16,17)12-7-3-10(14)4-8-12/h1-8,15H,14H2"
15,"InChI=1S/C13H14N2O3S/c1-18-12-4-2-3-11(9-12)15-19(16,17)13-7-5-10(14)6-8-13/h2-9,15H,14H2,1H3"
16,"InChI=1S/C12H12N2O2S/c13-10-6-8-12(9-7-10)17(15,16)14-11-4-2-1-3-5-11/h1-9,14H,13H2"
17,"InChI=1S/C13H14N2O2S/c1-10-3-2-4-12(9-10)15-18(16,17)13-7-5-11(14)6-8-13/h2-9,15H,14H2,1H3"
18,"InChI=1S/C13H14N2O2S/c1-10-2-6-12(7-3-10)15-18(16,17)13-8-4-11(14)5-9-13/h2-9,15H,14H2,1H3"
19,"InChI=1S/C13H14N2O3S/c1-18-12-6-4-11(5-7-12)15-19(16,17)13-8-2-10(14)3-9-13/h2-9,15H,14H2,1H3"
20,"InChI=1S/C14H17N3O2S/c1-17(2)13-5-3-4-12(10-13)16-20(18,19)14-8-6-11(15)7-9-14/h3-10,16H,15H2,1-2H3"
21,"InChI=1S/C14H17N3O2S/c1-17(2)13-7-5-12(6-8-13)16-20(18,19)14-9-3-11(15)4-10-14/h3-10,16H,15H2,1-2H3"
