ID,InchiCode
1,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3"
2,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8"
3,"InChI=1S/C2H3Cl2F/c1-2(3,4)5/h1H3"
4,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2
5,"InChI=1S/C3HCl2F5/c4-1(6)2(7,8)3(5,9)10/h1H"
6,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3"
7,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
8,"InChI=1S/C3HCl2F5/c4-1(5)2(6,7)3(8,9)10/h1H"
9,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
10,InChI=1S/C2H3N/c1-2-3/h1H3
11,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
12,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
13,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
14,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3"
15,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3"
16,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2
17,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
18,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
19,"InChI=1S/C9H12/c1-2-8-5-7-3-4-9(8)6-7/h2-4,7,9H,5-6H2,1H3/b8-2+"
20,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
21,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
22,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-"
23,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
24,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
25,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
26,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
27,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3"
28,"InChI=1S/CH4O/c1-2/h2H,1H3"
29,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
30,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
31,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
32,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
33,InChI=1S/C2Cl4/c3-1(4)2(5)6
34,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
35,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
36,InChI=1S/C2HCl3/c3-1-2(4)5/h1H
37,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
38,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
39,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3"
40,InChI=1S/H2S/h1H2
41,"InChI=1S/CH4S/c1-2/h2H,1H3"
