ID,InchiCode
1,"InChI=1S/C20H18N2O2/c1-3-20(15-8-4-7-14(2)13-15)18(23)16-9-6-12-22(16)19-17(24-20)10-5-11-21-19/h4-13H,3H2,1-2H3"
2,"InChI=1S/C19H16N2O2/c1-2-19(14-8-4-3-5-9-14)17(22)15-10-7-13-21(15)18-16(23-19)11-6-12-20-18/h3-13H,2H2,1H3"
3,"InChI=1S/C18H15NO2S/c1-2-18(16-10-6-12-22-16)17(20)14-8-5-11-19(14)13-7-3-4-9-15(13)21-18/h3-12H,2H2,1H3"
4,"InChI=1S/C21H19NO3/c1-3-21(15-8-6-9-16(14-15)24-2)20(23)18-11-7-13-22(18)17-10-4-5-12-19(17)25-21/h4-14H,3H2,1-2H3"
5,"InChI=1S/C21H19NO2/c1-3-21(16-9-6-8-15(2)14-16)20(23)18-11-7-13-22(18)17-10-4-5-12-19(17)24-21/h4-14H,3H2,1-2H3"
6,"InChI=1S/C17H14N2O2S/c1-2-17(14-8-5-11-22-14)15(20)12-6-4-10-19(12)16-13(21-17)7-3-9-18-16/h3-11H,2H2,1H3"
7,"InChI=1S/C20H16FNO2/c1-2-20(14-7-5-8-15(21)13-14)19(23)17-10-6-12-22(17)16-9-3-4-11-18(16)24-20/h3-13H,2H2,1H3"
8,"InChI=1S/C20H17NO2/c1-2-20(15-9-4-3-5-10-15)19(22)17-12-8-14-21(17)16-11-6-7-13-18(16)23-20/h3-14H,2H2,1H3"
9,"InChI=1S/C21H19NO2/c1-3-21(16-12-10-15(2)11-13-16)20(23)18-8-6-14-22(18)17-7-4-5-9-19(17)24-21/h4-14H,3H2,1-2H3"
10,"InChI=1S/C20H15F2NO2/c1-2-20(13-10-14(21)12-15(22)11-13)19(24)17-7-5-9-23(17)16-6-3-4-8-18(16)25-20/h3-12H,2H2,1H3"
11,"InChI=1S/C19H14BrF2N5OS/c20-11-3-4-16(24-10-11)25-19(29)23-5-7-27-15-9-12(21)8-13(22)17(15)26-6-1-2-14(26)18(27)28/h1-4,6,8-10H,5,7H2,(H2,23,24,25,29)"
12,"InChI=1S/C18H15BrN6OS/c19-12-5-6-15(22-11-12)23-18(27)21-8-10-25-13-3-1-7-20-16(13)24-9-2-4-14(24)17(25)26/h1-7,9,11H,8,10H2,(H2,21,22,23,27)"
13,"InChI=1S/C19H16BrN5OS/c20-13-7-8-17(22-12-13)23-19(27)21-9-11-25-15-5-2-1-4-14(15)24-10-3-6-16(24)18(25)26/h1-8,10,12H,9,11H2,(H2,21,22,23,27)"
14,"InChI=1S/C19H15BrClN5OS/c20-12-3-6-17(23-11-12)24-19(28)22-7-9-26-16-10-13(21)4-5-14(16)25-8-1-2-15(25)18(26)27/h1-6,8,10-11H,7,9H2,(H2,22,23,24,28)"
15,"InChI=1S/C19H15BrFN5OS/c20-12-6-7-16(23-11-12)24-19(28)22-8-10-26-17-13(21)3-1-4-14(17)25-9-2-5-15(25)18(26)27/h1-7,9,11H,8,10H2,(H2,22,23,24,28)"
16,"InChI=1S/C19H15BrFN5OS/c20-12-6-7-16(23-11-12)24-19(28)22-8-10-26-14-4-1-3-13(21)17(14)25-9-2-5-15(25)18(26)27/h1-7,9,11H,8,10H2,(H2,22,23,24,28)"
17,"InChI=1S/C18H15BrN6OS/c19-12-5-6-15(22-11-12)23-18(27)21-8-10-25-14-4-2-1-3-13(14)24-9-7-20-16(24)17(25)26/h1-7,9,11H,8,10H2,(H2,21,22,23,27)"
18,"InChI=1S/C19H15BrFN5OS/c20-12-3-6-17(23-11-12)24-19(28)22-7-9-26-16-10-13(21)4-5-14(16)25-8-1-2-15(25)18(26)27/h1-6,8,10-11H,7,9H2,(H2,22,23,24,28)"
19,"InChI=1S/C19H15BrClN5OS/c20-12-3-6-17(23-11-12)25-19(28)22-7-9-27-18-16-2-1-8-26(16)15-5-4-13(21)10-14(15)24-18/h1-6,8,10-11H,7,9H2,(H2,22,23,25,28)"
20,"InChI=1S/C19H15BrFN5OS/c20-12-6-7-16(23-11-12)24-19(28)22-8-10-27-18-15-5-2-9-26(15)14-4-1-3-13(21)17(14)25-18/h1-7,9,11H,8,10H2,(H2,22,23,24,28)"
21,"InChI=1S/C21H20BrN5OS/c1-13-10-16-18(11-14(13)2)27-8-3-4-17(27)20(25-16)28-9-7-23-21(29)26-19-6-5-15(22)12-24-19/h3-6,8,10-12H,7,9H2,1-2H3,(H2,23,24,26,29)"
22,"InChI=1S/C16H12N6O/c23-16(12-10-17-7-8-18-12)21-20-15-14-6-3-9-22(14)13-5-2-1-4-11(13)19-15/h1-10H,(H,19,20)(H,21,23)"
23,"InChI=1S/C17H13BrN6S/c18-11-7-8-15(19-10-11)21-17(25)23-22-16-14-6-3-9-24(14)13-5-2-1-4-12(13)20-16/h1-10H,(H,20,22)(H2,19,21,23,25)"
24,"InChI=1S/C17H13BrN6O/c18-11-7-8-15(19-10-11)21-17(25)23-22-16-14-6-3-9-24(14)13-5-2-1-4-12(13)20-16/h1-10H,(H,20,22)(H2,19,21,23,25)"
25,"InChI=1S/C17H13N5O/c23-17(13-7-3-4-10-18-13)21-20-16-15-9-5-11-22(15)14-8-2-1-6-12(14)19-16/h1-11H,(H,19,20)(H,21,23)"
26,"InChI=1S/C14H9ClF3NO2/c15-9-3-4-11-10(7-9)13(14(16,17)18,21-12(20)19-11)6-5-8-1-2-8/h3-4,7-8H,1-2H2,(H,19,20)"
27,"InChI=1S/C18H15BrN6OS/c19-12-5-6-16(21-11-12)23-17(27)20-9-10-24-14-4-2-1-3-13(14)15-7-8-22-25(15)18(24)26/h1-8,11H,9-10H2,(H2,20,21,23,27)"
28,"InChI=1S/C9H7NO4/c11-4-1-2-5(12)8-7(4)9(14)6(13)3-10-8/h1-3,11-13H,(H,10,14)"
29,"InChI=1S/C14H13BrFN3S/c15-11-5-6-13(18-9-11)19-14(20)17-8-7-10-3-1-2-4-12(10)16/h1-6,9H,7-8H2,(H2,17,18,19,20)"
30,"InChI=1S/C13H13BrN4S/c14-10-4-5-12(17-9-10)18-13(19)16-8-6-11-3-1-2-7-15-11/h1-5,7,9H,6,8H2,(H2,16,17,18,19)"
31,"InChI=1S/C14H20BrN3S/c1-10(11-5-3-2-4-6-11)17-14(19)18-13-8-7-12(15)9-16-13/h7-11H,2-6H2,1H3,(H2,16,17,18,19)"
32,"InChI=1S/C14H20ClN3S/c1-10(11-5-3-2-4-6-11)17-14(19)18-13-8-7-12(15)9-16-13/h7-11H,2-6H2,1H3,(H2,16,17,18,19)"
33,"InChI=1S/C25H34N6O3S/c1-25(2,3)28-21-7-6-12-26-23(21)30(4)19-10-13-31(14-11-19)24(32)22-16-17-15-18(29-35(5,33)34)8-9-20(17)27-22/h6-9,12,15-16,19,27-29H,10-11,13-14H2,1-5H3"
34,"InChI=1S/C26H36N6O3S/c1-6-32(24-22(8-7-13-27-24)29-26(2,3)4)20-11-14-31(15-12-20)25(33)23-17-18-16-19(30-36(5,34)35)9-10-21(18)28-23/h7-10,13,16-17,20,28-30H,6,11-12,14-15H2,1-5H3"
35,"InChI=1S/C31H43FN8O2/c1-6-40(28-25(36-31(2,3)4)9-10-27(32)35-28)23-11-13-38(14-12-23)29(41)26-20-21-19-22(7-8-24(21)34-26)33-30(42)39-17-15-37(5)16-18-39/h7-10,19-20,23,34,36H,6,11-18H2,1-5H3,(H,33,42)"
36,"InChI=1S/C15H14N4O/c1-9-6-8-17-14-12(9)18-15(20)11-3-2-7-16-13(11)19(14)10-4-5-10/h2-3,6-8,10H,4-5H2,1H3,(H,18,20)"
