Compound Id	Average net charge on H-atom
1	0.162
2	0.187
3	0.192
4	0.19
5	0.166
6	0.175
7	0.174
8	0.126
9	0.127
10	0.128
11	0.131
12	0.13
13	0.176
14	0.094
15	0.104
16	0.109
17	0.11
18	0.032
19	0.041
20	0.044
21	0.045
22	0.047
23	0.049
24	0.048
25	0.049
26	0.05
27	0.05
28	0.051
29	0.054
30	0.052
31	0.057
32	0.052
33	0.052
34	0.088
35	0.085
36	0.076
37	0.082
38	0.069
39	0.077
40	0.07
41	0.072
42	0.075
43	0.069
44	0.071
45	0.067
46	0.066
47	0.065
48	0.122
49	0.111
50	0.107
51	0.102
52	0.097
53	0.103
54	0.09
55	0.085
