Name	ISIZ	IAC	AAC	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	RDSUM	Har	QW	TI1	TI2	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	IDE	IDM	IDDE	IDDM	IDET	IDMT	IVDE	IVDM	HVcpx	HDcpx	Uindex	Vindex	Xindex	Yindex	IC0	TIC0	SIC0	CIC0	BIC0	IC1	TIC1	SIC1	CIC1	BIC1	IC2	TIC2	SIC2	CIC2	BIC2	IC3	TIC3	SIC3	CIC3	BIC3	IC4	TIC4	SIC4	CIC4	BIC4	IC5	TIC5	SIC5	CIC5	BIC5	LP1	STN	Eig1Z	Eig1m	Eig1v	Eig1e	Eig1p	SEigZ	SEigm	SEigv	SEige	SEigp	AEigZ	AEigm	AEigv	AEige	AEigp	VEA1	VEA2	VRA1	VRA2	VED1	VED2	VRD1	VRD2	VEZ1	VEZ2	VRZ1	VRZ2	VEm1	VEm2	VRm1	VRm2	VEv1	VEv2	VRv1	VRv2	VEe1	VEe2	VRe1	VRe2	VEp1	VEp2	VRp1	VRp2	NGS	MPC03	MPC04	MPC05	MPC06	MPC07	MPC08	MPC09	MPC10	piPC03	piPC04	piPC05	piPC06	piPC07	piPC08	piPC09	piPC10	TPC	piID	PCR	PCD	CID	BID	D/Dr03	D/Dr04	D/Dr05	D/Dr06	D/Dr07	D/Dr08	D/Dr09	D/Dr10	D/Dr11	D/Dr12	T(N..N)	T(N..O)	T(N..S)	T(N..P)	T(N..F)	T(N..Cl)	T(N..Br)	T(N..I)	T(O..O)	T(O..S)	T(O..P)	T(O..F)	T(O..Cl)	T(O..Br)	T(O..I)	T(S..S)	T(S..P)	T(S..F)	T(S..Cl)	T(S..Br)	T(S..I)	T(P..P)	T(P..F)	T(P..Cl)	T(P..Br)	T(P..I)	T(F..F)	T(F..Cl)	T(F..Br)	T(F..I)	T(Cl..Cl)	T(Cl..Br)	T(Cl..I)	T(Br..Br)	T(Br..I)	T(I..I)	Activity	
100-02-7	58.603	26.729	1.782	46	190	50	166	6	6.068	1.667	1.835	.048	23.5	3	11	31.601	24	.316	498	1240	420	2257	9.95	14.967	120	2.667	22.6	15.023	93.333	0	1.74	131	8.531	204	628	7.786	29.314	314	80.464	80.479	129.529	80.571	143.485	2.26	3.338	3.337	2.249	3.334	2.062	2.514	3.036	17.576	121.262	7.56	4.698	4.264	3.003	1.953	1.449	.756	.47	.328	.215	.139	.091	5.02	2.634	1.774	1.061	.574	.347	.502	.263	.136	.076	.041	.022	7.56	4.698	4.264	3.003	1.953	1.449	30.666	2.119	47.528	27.329	6.867	2.56	1.613	1.758	.79	.577	.307	.129	.072	1	88	46	4.6	1	4	18	60	14	11	1.185	1.971	2.344	5.306	2.446	3.296	105.49	636.675	1.846	3.916	2.329	1.389	16.643	.525	.751	1.597	1.782	26.729	.456	2.125	.419	2.707	40.603	.693	1.2	.637	2.974	44.603	.761	.933	.7	3.24	48.603	.829	.667	.763	3.24	48.603	.829	.667	.763	3.24	48.603	.829	.667	.763	2.236	1.792	16.687	16.691	27.477	16.71	30.664	.893	.891	-3.298	.886	-4.184	0	0	0	0	0	2.995	.3	31.977	3.198	3.117	.312	34.393	3.439	3.119	.312	34.169	3.417	3.119	.312	34.17	3.417	3.074	.307	36.179	3.618	3.119	.312	34.174	3.417	3.065	.306	36.538	3.654	13	14	14	16	12	4	0	0	0	38.25	57.375	92.813	81	45.563	0	0	0	93	363.75	3.911	3.053	19.386	10.481	0	0	0	30.514	0	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100-03-8	58.603	29.484	1.966	46	130.049	50	79.111	6	6.068	1.667	1.835	.048	22.333	3	11	31.601	24	.316	498	919.605	420	1263.481	9.95	14.967	120	2.667	22.6	15.023	93.333	0	1.74	131	8.531	204	628	7.786	29.314	314	62.848	62.708	100.226	84.035	85.991	2.26	4.164	4.171	2.815	3.216	3.222	3.118	3.38	14.697	33.378	7.56	4.698	4.264	3.003	1.953	1.449	.756	.47	.328	.215	.139	.091	6.524	4.048	3.109	1.943	1.046	.8	.652	.405	.239	.139	.075	.05	8.349	5.731	5.53	3.93	2.549	2.068	39.961	2.119	47.528	28.662	7.727	3.145	2.074	2.43	1.215	.577	.307	.129	.072	1	88	46	4.6	1	4	18	60	14	11	1.185	1.971	2.344	5.306	2.446	3.296	105.49	636.675	1.846	3.8	2.329	1.389	16.643	.525	.751	1.597	1.966	29.484	.503	1.941	.463	2.84	42.603	.727	1.067	.669	3.107	46.603	.795	.8	.731	3.374	50.603	.863	.533	.794	3.374	50.603	.863	.533	.794	3.374	50.603	.863	.533	.794	2.236	1.792	12.998	12.966	20.992	17.478	17.743	1.772	1.785	-1.792	.778	-1.803	0	0	0	0	0	2.995	.3	31.977	3.198	3.117	.312	34.393	3.439	3.135	.314	33.278	3.328	3.136	.314	33.261	3.326	3.092	.309	35.318	3.532	3.115	.311	34.377	3.438	3.107	.311	34.702	3.47	13	14	14	16	12	4	0	0	0	38.25	57.375	92.813	81	45.563	0	0	0	93	363.5	3.909	3.05	19.386	10.481	0	0	0	30.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100-15-2	80.711	33.059	1.74	50	182	55	166	6	6.762	1.692	1.849	.034	25	3	13	36.976	29.455	.32	659	1430	565	2298	11.128	18.894	162	2.945	25.919	16.729	127.667	0	1.951	195	9.557	258	822	9.471	37.505	407	113.143	113.156	172.312	113.321	190.016	2.243	3.21	3.21	2.249	3.206	2.067	2.417	3.186	13.484	48.932	8.268	5.236	4.433	3.412	2.263	1.559	.752	.476	.317	.213	.141	.087	6.073	3.16	2.054	1.367	.75	.439	.552	.287	.147	.085	.047	.024	8.268	5.236	4.433	3.412	2.263	1.559	33.875	2.245	54.524	29.359	7.856	3.235	1.834	2.31	.862	.564	.322	.139	.071	.75	113	59	5.364	1.124	5.669	23	71	19	14	1.273	1.936	2.541	5.574	2.914	3.428	139.757	902.971	1.868	4.056	2.504	1.422	19.271	.487	.714	1.432	1.74	33.059	.41	2.508	.385	2.392	45.449	.563	1.856	.529	2.687	51.059	.633	1.561	.594	3.261	61.956	.768	.987	.721	3.471	65.956	.817	.777	.767	3.471	65.956	.817	.777	.767	2.251	1.792	21.549	21.552	33.527	21.585	37.234	.786	.784	-2.784	.778	-3.589	0	0	0	0	0	3.095	.281	39.103	3.555	3.261	.296	39.929	3.63	3.257	.296	39.922	3.629	3.257	.296	39.923	3.629	3.217	.292	41.944	3.813	3.257	.296	39.93	3.63	3.208	.292	42.357	3.851	14	16	16	18	16	10	0	0	0	41.25	61.875	99.563	97.875	81	0	0	0	112	433.313	3.869	3.623	21.405	11.429	0	0	0	34.705	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
100-17-4	75.059	31.001	1.722	50	202	55	176	6	6.762	1.692	1.849	.034	25.5	3	13	36.976	29.455	.32	659	1516	565	2594	11.128	18.894	162	2.945	25.919	16.729	127.667	0	1.951	195	9.557	258	822	9.471	37.505	407	110.143	110.171	186.703	110.29	206.663	2.243	3.28	3.28	2.098	3.277	1.921	2.445	3.165	15.314	57.833	8.268	5.236	4.433	3.412	2.263	1.559	.752	.476	.317	.213	.141	.087	5.981	3.022	1.955	1.283	.704	.408	.544	.275	.14	.08	.044	.023	8.268	5.236	4.433	3.412	2.263	1.559	34.432	2.245	54.524	30.193	7.856	3.235	1.834	2.31	.824	.564	.322	.139	.071	.75	113	59	5.364	1.124	5.669	23	71	19	14	1.273	1.936	2.541	5.574	2.914	3.428	139.757	902.971	1.868	4.056	2.504	1.422	19.271	.487	.714	1.432	1.722	31.001	.413	2.448	.386	2.523	45.407	.605	1.647	.566	3.128	56.304	.75	1.042	.701	3.35	60.304	.803	.82	.751	3.35	60.304	.803	.82	.751	3.35	60.304	.803	.82	.751	2.251	1.792	20.901	20.907	36.629	20.93	40.794	.893	.891	-3.298	.886	-4.184	0	0	0	0	0	3.095	.281	39.103	3.555	3.261	.296	39.929	3.63	3.262	.297	39.746	3.613	3.262	.297	39.748	3.613	3.207	.292	42.307	3.846	3.262	.297	39.753	3.614	3.198	.291	42.709	3.883	14	16	16	18	16	10	0	0	0	41.25	61.875	99.563	97.875	81	0	0	0	112	433.313	3.869	3.623	21.405	11.429	0	0	0	34.705	0	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
100-21-0	75.059	27.549	1.53	56	222	62	186	7	7.167	1.636	1.817	.028	28	4	15	42.183	34.333	.31	828	2022	714	3903	12.137	35.214	206	3.121	29.738	18.684	164	0	2.113	260.5	10.75	314	1019	11.49	46.695	502	132.75	132.771	172.452	132.8	180.419	2.295	3.533	3.533	2.897	3.532	2.798	2.73	3.335	23.206	83.747	9.138	5.609	5.163	3.702	2.478	1.653	.761	.467	.323	.206	.138	.083	6.02	3.177	2.188	1.379	.755	.447	.502	.265	.137	.077	.042	.022	9.138	5.609	5.163	3.702	2.478	1.653	35.964	2.31	62.932	29.033	8.589	3.26	1.987	2.333	.794	.584	.32	.132	.066	.75	126	66	5.5	1.167	6.444	28	76	16	21	1.258	1.918	2.613	5.832	1.459	3.554	172.478	1201.403	1.918	4.203	2.543	1.453	22.023	.474	.701	1.39	1.53	27.549	.367	2.639	.334	2.725	49.059	.654	1.444	.594	2.725	49.059	.654	1.444	.594	2.725	49.059	.654	1.444	.594	2.725	49.059	.654	1.444	.594	2.725	49.059	.654	1.444	.594	2.278	1.792	23.029	23.032	30.489	23.038	32.012	1	.998	-3.812	.994	-4.778	0	0	0	0	0	3.226	.269	43.338	3.611	3.408	.284	45.617	3.801	3.409	.284	45.417	3.785	3.409	.284	45.418	3.785	3.366	.28	47.585	3.965	3.409	.284	45.42	3.785	3.359	.28	47.909	3.992	16	18	18	20	20	16	0	0	0	60.75	91.125	151.875	227.813	273.375	0	0	0	132	870.438	6.594	8.326	23.242	12.4	0	0	0	38.895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100-22-1	134.606	35.387	1.264	56	122	62	126	7	7.167	1.636	1.817	.028	25	4	15	42.183	34.333	.31	828	1198	714	1377	12.137	35.214	206	3.121	29.738	18.684	164	0	2.113	260.5	10.75	314	1019	11.49	46.695	502	156	156.01	213.035	156.254	228.8	2.295	3.08	3.08	2.336	3.076	2.19	.43	.12	1.72	39.52	9.138	5.609	5.163	3.702	2.478	1.653	.761	.467	.323	.206	.138	.083	8.204	4.057	3.305	1.883	1.049	.584	.684	.338	.207	.105	.058	.029	9.138	5.609	5.163	3.702	2.478	1.653	35.142	2.31	62.932	21.688	9.233	3.698	2.316	2.845	1.014	.584	.32	.132	.066	.75	126	66	5.5	1.167	6.444	28	76	16	21	1.258	1.918	2.613	5.832	1.459	3.554	172.478	1201.403	1.459	3.876	2.543	1.453	22.023	.474	.701	1.39	1.264	35.387	.263	3.544	.255	1.522	42.606	.317	3.286	.307	1.807	50.606	.376	3	.365	2.271	63.586	.472	2.536	.458	2.271	63.586	.472	2.536	.458	2.271	63.586	.472	2.536	.458	2.278	1.792	27.265	27.267	37.905	27.312	40.859	.286	.286	-.878	.281	-1.2	0	0	0	0	0	3.226	.269	43.338	3.611	3.408	.284	45.617	3.801	3.395	.283	46.273	3.856	3.395	.283	46.274	3.856	3.368	.281	47.697	3.975	3.395	.283	46.282	3.857	3.363	.28	47.97	3.997	16	18	18	20	20	16	0	0	0	41.25	61.875	99.563	97.875	87.75	0	0	0	132	440.813	3.339	3.482	23.242	12.4	0	0	0	38.895	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
100-27-6	92.239	34.954	1.664	54	198	59	168	6	7.455	1.714	1.861	.024	27.5	3	14	42.659	35.833	.326	864	1914	754	3323	12.329	23.259	215	3.258	29.212	18.374	173	0	2.317	285.5	10.543	323	1081	11.237	46.933	519	159.821	159.84	220.565	159.956	237.838	2.201	2.976	2.975	2.283	2.974	2.144	2.442	3.226	18.034	100.957	8.975	5.736	4.813	3.531	2.552	1.779	.748	.478	.321	.208	.142	.089	6.435	3.58	2.397	1.548	.913	.549	.536	.298	.16	.091	.051	.027	8.975	5.736	4.813	3.531	2.552	1.779	37.024	2.383	61.325	32.977	8.846	3.951	2.394	2.912	.895	.553	.307	.147	.076	1	140	73	6.083	1.264	7.111	29	82	24	15	1.528	2.292	2.735	5.817	1.959	3.549	180.52	1250.642	1.855	4.179	2.656	1.451	22.079	.449	.674	1.282	1.664	34.954	.379	2.728	.358	2.678	56.239	.61	1.714	.577	3.535	74.239	.805	.857	.761	3.726	78.239	.848	.667	.802	3.726	78.239	.848	.667	.802	3.726	78.239	.848	.667	.802	2.256	1.792	28.088	28.091	39.523	28.112	42.913	.893	.891	-3.298	.886	-4.184	0	0	0	0	0	3.17	.264	50.177	4.181	3.401	.283	45.579	3.798	3.394	.283	45.689	3.807	3.394	.283	45.69	3.807	3.355	.28	47.787	3.982	3.394	.283	45.693	3.808	3.346	.279	48.227	4.019	15	17	18	20	18	14	6	0	0	42.25	64.875	104.063	104.625	97.875	35.438	0	0	132	503.875	3.817	4.193	23.415	12.382	0	0	0	39.133	0	0	0	0	0	0	0	7	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
100-32-3	134.606	55.586	1.985	98	330.889	110	297.778	12	13.523	1.818	1.966	.001	45	6	27	91.294	98	.312	4070	8257.556	4009	15732.78	20.495	134.611	980	5.158	61.907	34.161	773.333	32.773	4.448	2004	20.068	1388	6972	19.514	135.841	3652	544.312	544.216	891.602	726.538	834.1	1.602	2.931	2.931	1.832	2.134	2.031	2.447	3.517	28.136	162.217	14.535	9.559	8.627	6.652	4.759	3.647	.727	.455	.308	.202	.132	.083	11.596	7.545	5.945	4.746	3.274	2.459	.58	.359	.212	.144	.091	.056	15.242	10.592	9.926	8.289	6.305	5.2	70.231	3.3	134.756	56.147	14.69	6.635	4.142	4.874	1.078	.58	.321	.143	.077	.857	418	204	10.2	1.64	17.2	74	480	58	21	1.013	2.722	3.491	7.284	2.722	4.292	663.35	7138.648	1.571	5.369	3.332	1.608	36.855	.248	.401	.646	1.985	55.586	.413	2.822	.381	2.522	70.606	.525	2.286	.484	2.807	78.606	.584	2	.539	3.093	86.606	.643	1.714	.594	3.093	86.606	.643	1.714	.594	3.093	86.606	.643	1.714	.594	2.291	3.584	57.209	57.201	95	74.875	91.405	2.536	2.534	-4.529	1.417	-5.192	0	0	0	0	0	4.255	.213	98.067	4.903	4.402	.22	100.619	5.031	4.384	.219	101.946	5.097	4.384	.219	101.95	5.098	4.35	.218	104.584	5.229	4.415	.221	99.434	4.972	4.305	.215	107.866	5.393	28	33	36	44	44	40	36	44	40	83.5	129.75	217.125	236.25	256.5	232.875	410.063	546.75	510	5428.316	10.644	55.456	40.024	20.232	0	0	0	144.927	0	0	0	0	0	0	11	48	22	0	0	0	0	0	52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
100-37-8	104.042	29.929	1.301	28	68	28	48	1	3.871	1.5	1.622	.144	17.5	1	7	22.92	18	.381	260	420	183	405	8.082	11.619	72	2.571	14.483	9.92	72	-8.351	2.054	75	5.567	72	150	11.133	28	72	64.679	64.687	95.798	64.79	103.762	3.074	3.432	3.431	2.305	3.426	2.125	1.221	2.457	5.661	43.292	6.406	3.846	2.471	1.852	1.105	.408	.801	.549	.353	.265	.221	.204	5.723	3.179	1.75	1.311	.681	.141	.715	.454	.25	.187	.136	.071	6.406	3.846	2.471	1.852	1.105	.408	24.396	1.851	26.966	14.413	7.922	5.067	3.603	5.017	1.362	.492	.302	.134	.036	.667	54	33	4.125	.656	3.5	12	48	12	22	1.561	1.561	2.216	4.635	2.5	2.964	62.042	333.731	1.406	2.896	2.246	1.3	18.341	.814	1.15	2.481	1.301	29.929	.288	3.222	.292	1.912	43.984	.423	2.611	.429	2.914	67.022	.644	1.61	.653	3.154	72.532	.697	1.37	.707	3.154	72.532	.697	1.37	.707	3.154	72.532	.697	1.37	.707	2.029	0	16.946	16.948	24.797	16.973	26.803	.393	.392	-1.392	.389	-1.795	0	0	0	0	0	2.588	.324	21.551	2.694	2.776	.347	22.339	2.792	2.774	.347	22.398	2.8	2.774	.347	22.398	2.8	2.778	.347	22.246	2.781	2.774	.347	22.396	2.799	2.779	.347	22.208	2.776	7	7	5	2	0	0	0	0	0	7	5	2	0	0	0	0	0	36	36	1	0	14.666	8.473	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100-39-0	58.603	19.3	1.287	34	65.067	36	68.519	4	5.257	1.846	1.929	.072	15.75	1	7	22.062	16	.339	280	384.771	234	379.37	7.804	4.796	64	2.286	15.783	11.255	48.167	0	1.481	61	6.267	124	368	4.395	16.257	184	43.2	43.052	47.06	47.971	46.039	2.125	3.109	3.117	2.917	2.877	2.965	.548	.607	1.776	18.416	5.82	3.932	2.912	2.302	1.595	1.105	.727	.491	.324	.23	.16	.111	6.058	3.653	2.18	1.645	.941	.538	.757	.457	.242	.164	.094	.054	6.82	4.639	3.321	2.879	2.004	1.394	33.844	1.989	32.455	18.641	5.831	2.877	1.624	2.097	1.37	.525	.301	.145	.068	.667	60	31	3.875	.656	2	12	32	10	3	1.125	1.561	2.06	4.642	2.156	2.978	57.67	297.106	1.549	3.389	2.172	1.299	12.001	.573	.796	1.782	1.287	19.3	.329	2.62	.309	1.823	27.342	.467	2.084	.437	2.549	38.239	.653	1.358	.611	3.057	45.848	.782	.85	.733	3.24	48.603	.829	.667	.777	3.24	48.603	.829	.667	.777	2.136	1.792	11.147	11.107	12.214	12.473	11.927	.829	.85	.277	.147	.423	0	0	0	0	0	2.718	.34	23.561	2.945	2.797	.35	24.049	3.006	2.801	.35	23.924	2.991	2.802	.35	23.908	2.989	2.788	.349	24.288	3.036	2.786	.348	24.362	3.045	2.792	.349	24.201	3.025	9	10	10	10	4	2	0	0	0	27.75	41.625	62.438	25.313	15.188	0	0	0	61	208.813	3.423	1.667	15.693	8.577	0	0	0	22.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
