Name	TestTria	Potency	ISIZ	IAC	AAC	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	RDSUM	Har	QW	TI1	TI2	HyDp	RHyDp	VAR82	ww	Rww	D_D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	IDE	IDM	IDDE	IDDM	IDET	IDMT	IVDE	IVDM	HVcpx	HDcpx	Uindex	Vindex	Xindex	Yindex	IC0	TIC0	SIC0	CIC0	BIC0	IC1	TIC1	SIC1	CIC1	BIC1	IC2	TIC2	SIC2	CIC2	BIC2	IC3	TIC3	SIC3	CIC3	BIC3	IC4	TIC4	SIC4	CIC4	BIC4	IC5	TIC5	SIC5	CIC5	BIC5	LP1	STN	Eig1Z	Eig1m	Eig1v	Eig1e	Eig1p	SEigZ	SEigm	SEigv	SEige	SEigp	AEigZ	AEigm	AEigv	AEige	AEigp	VEA1	VEA2	VRA1	VRA2	VED1	VED2	VRD1	VRD2	VEZ1	VEZ2	VRZ1	VRZ2	VEm1	VEm2	VRm1	VRm2	VEv1	VEv2	VRv1	VRv2	VEe1	VEe2	VRe1	VRe2	VEp1	VEp2	VRp1	VRp2	NGS	MPC03	MPC04	MPC05	MPC06	MPC07	MPC08	MPC09	MPC10	piPC03	piPC04	piPC05	piPC06	piPC07	piPC08	piPC09	piPC10	TPC	piID	PCR	PCD	CID	BID	D_Dr03	D_Dr04	D_Dr05	D_Dr06	D_Dr07	D_Dr08	D_Dr09	D_Dr10	D_Dr11	D_Dr12	T_N__N_	T_N__O_	T_N__S_	T_N__P_	T_N__F_	T_N__Cl_	T_N__Br_	T_N__I_	T_O__O_	T_O__S_	T_O__P_	T_O__F_	T_O__Cl_	T_O__Br_	T_O__I_	T_S__S_	T_S__P_	T_S__F_	T_S__Cl_	T_S__Br_	T_S__I_	T_P__P_	T_P__F_	T_P__Cl_	T_P__Br_	T_P__I_	T_F__F_	T_F__Cl_	T_F__Br_	T_F__I_	T_Cl__Cl_	T_Cl__Br_	T_Cl__I_	T_Br__Br_	T_Br__I_	T_I__I_	_OBSTAT_
1-2-dinitrobenzene	0	1.25	64	30.49	1.906	56	262	63	227	7	7.167	1.636	1.817	0.028	29	4	16	41.114	31.333	0.272	756	2002	642	3949	11.806	37.31	188	2.848	30.433	18.973	158	0	1.711	208	10.967	332	1160	11.326	42.346	502	125.143	125.166	220.162	125.378	249.396	2.541	3.746	3.746	2.306	3.74	2.069	9.138	5.626	5.1	3.587	2.844	2.103	0.761	0.469	0.319	0.189	0.129	0.096	5.837	3.005	2.003	1.275	0.773	0.424	0.486	0.25	0.125	0.067	0.035	0.019	9.138	5.626	5.1	3.587	2.844	2.103	37.553	2.255	64.679	30	8.46	3.175	1.708	2.238	0.751	0.576	0.331	0.175	0.088	0.667	98	52	4.333	0.667	5.333	22	112	16	21	1.258	1.459	2.282	5.89	1.918	3.559	150.607	1107.307	1.585	4.418	2.281	1.466	21.634	0.544	0.763	1.776	1.906	30.49	0.476	2.094	0.434	2.25	36	0.563	1.75	0.512	2.5	40	0.625	1.5	0.569	2.75	44	0.688	1.25	0.626	2.75	44	0.688	1.25	0.626	2.75	44	0.688	1.25	0.626	2.323	1.792	21.49	21.494	38.747	21.53	44.284	1.286	1.283	-4.691	1.275	-5.978	0	0	0	0	0	3.178	0.265	43.809	3.651	3.414	0.285	46.137	3.845	3.425	0.285	45.347	3.779	3.425	0.285	45.348	3.779	3.372	0.281	48.251	4.021	3.425	0.285	45.354	3.78	3.36	0.28	48.838	4.07	16	19	22	22	12	9	4	4	0	48.75	79.875	119.813	91.125	98.719	45.563	68.344	0	132	611.188	4.63	5.403	23.243	12.446	0	0	0	38.895	0	0	0	0	0	0	3	16	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01101    0    0    0
1-3-dinitrobenzene	0	0.762	75.059	34.039	1.891	56	240	62	216	7	7.167	1.636	1.817	0.028	29	4	15	41.681	32.833	0.29	792	2006	678	3909	11.962	35.398	197	2.985	30.017	18.785	162.5	0	2.011	232	10.829	323	1085	11.392	44.219	502	135.857	135.885	246.775	136.116	281.145	2.402	3.455	3.454	2.092	3.449	1.869	9.138	5.609	5.175	3.641	2.478	1.943	0.761	0.467	0.323	0.202	0.13	0.088	5.915	3.034	2.066	1.271	0.731	0.44	0.493	0.253	0.129	0.071	0.038	0.02	9.138	5.609	5.175	3.641	2.478	1.943	37.452	2.287	63.598	37.033	8.769	3.381	2.077	2.471	0.758	0.581	0.32	0.142	0.08	1	112	59	4.917	0.778	5.444	25	94	16	21	1.258	1.855	2.474	5.864	1.555	3.559	163.253	1155.305	1.888	4.147	2.443	1.46	21.824	0.504	0.728	1.539	1.891	34.039	0.454	2.279	0.424	2.837	51.059	0.68	1.333	0.636	3.281	59.059	0.787	0.889	0.736	3.725	67.059	0.893	0.444	0.835	3.837	69.059	0.92	0.333	0.86	3.837	69.059	0.92	0.333	0.86	2.288	1.792	23.435	23.44	44.286	23.481	50.977	1.286	1.283	-4.691	1.275	-5.978	0	0	0	0	0	3.214	0.268	43.446	3.62	3.415	0.285	45.667	3.806	3.419	0.285	45.35	3.779	3.419	0.285	45.351	3.779	3.35	0.279	48.903	4.075	3.419	0.285	45.36	3.78	3.337	0.278	49.554	4.129	16	18	19	22	17	12	4	0	0	44.25	68.625	110.813	99.563	101.25	30.375	0	0	132	510.625	3.868	4.269	23.242	12.42	0	0	0	38.895	0	0	0	0	0	0	4	20	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01101    0    0    0
1-4-dinitrobenzene	0	0.203	64	30.49	1.906	56	262	62	226	7	7.167	1.636	1.817	0.028	29	4	15	42.183	34.333	0.31	828	2218	714	4597	12.137	35.214	206	3.121	29.738	18.684	164	0	2.113	260.5	10.75	314	1019	11.49	46.695	502	137.143	137.166	232.162	137.378	261.396	2.295	3.394	3.394	2.184	3.389	1.972	9.138	5.609	5.163	3.702	2.478	1.653	0.761	0.467	0.323	0.206	0.138	0.083	5.837	2.999	2.031	1.271	0.696	0.408	0.486	0.25	0.127	0.071	0.039	0.02	9.138	5.609	5.163	3.702	2.478	1.653	37.452	2.31	62.932	27	8.46	3.175	1.924	2.238	0.75	0.584	0.32	0.132	0.066	0.75	126	66	5.5	1.167	6.444	28	76	16	21	1.258	1.918	2.613	5.832	1.459	3.554	172.478	1201.403	1.585	4.418	2.543	1.453	22.023	0.474	0.701	1.39	1.906	30.49	0.476	2.094	0.434	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.278	1.792	23.688	23.692	41.267	23.73	46.853	1.286	1.283	-4.691	1.275	-5.978	0	0	0	0	0	3.226	0.269	43.338	3.611	3.408	0.284	45.617	3.801	3.417	0.285	44.963	3.747	3.417	0.285	44.965	3.747	3.36	0.28	48.125	4.01	3.417	0.285	44.972	3.748	3.349	0.279	48.747	4.062	16	18	18	20	20	16	0	0	0	47.25	70.875	113.063	131.625	151.875	0	0	0	132	573.688	4.346	4.98	23.242	12.4	0	0	0	38.895	0	0	0	0	0	0	5	24	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01101    0    0    0
1-4-dinitrobenzene	0	1.3	64	30.49	1.906	56	262	62	226	7	7.167	1.636	1.817	0.028	29	4	15	42.183	34.333	0.31	828	2218	714	4597	12.137	35.214	206	3.121	29.738	18.684	164	0	2.113	260.5	10.75	314	1019	11.49	46.695	502	137.143	137.166	232.162	137.378	261.396	2.295	3.394	3.394	2.184	3.389	1.972	9.138	5.609	5.163	3.702	2.478	1.653	0.761	0.467	0.323	0.206	0.138	0.083	5.837	2.999	2.031	1.271	0.696	0.408	0.486	0.25	0.127	0.071	0.039	0.02	9.138	5.609	5.163	3.702	2.478	1.653	37.452	2.31	62.932	27	8.46	3.175	1.924	2.238	0.75	0.584	0.32	0.132	0.066	0.75	126	66	5.5	1.167	6.444	28	76	16	21	1.258	1.918	2.613	5.832	1.459	3.554	172.478	1201.403	1.585	4.418	2.543	1.453	22.023	0.474	0.701	1.39	1.906	30.49	0.476	2.094	0.434	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.278	1.792	23.688	23.692	41.267	23.73	46.853	1.286	1.283	-4.691	1.275	-5.978	0	0	0	0	0	3.226	0.269	43.338	3.611	3.408	0.284	45.617	3.801	3.417	0.285	44.963	3.747	3.417	0.285	44.965	3.747	3.36	0.28	48.125	4.01	3.417	0.285	44.972	3.748	3.349	0.279	48.747	4.062	16	18	18	20	20	16	0	0	0	47.25	70.875	113.063	131.625	151.875	0	0	0	132	573.688	4.346	4.98	23.242	12.4	0	0	0	38.895	0	0	0	0	0	0	5	24	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01101    0    0    0
2-3-5-6-tetrachloro-1-4-dinitrobenzene	0	2.74	64	30.49	1.906	80	292.42	96	268.444	11	8.789	1.5	1.732	0.012	38.333	8	29	61.881	48.75	0.231	1508	3334.198	1286	5811.076	15.334	533.097	390	3.25	48.905	27.765	320.667	0	1.612	481.5	16.483	630	2187	17.946	80.448	998	241.748	240.931	410.671	268.316	441.689	2.944	4.642	4.656	2.982	4.258	2.811	12.619	7.285	7.079	5.627	4.788	2.804	0.789	0.455	0.295	0.176	0.12	0.07	10.063	4.945	3.979	3.248	2.038	1.078	0.629	0.309	0.166	0.101	0.051	0.027	14.619	8.44	8.413	7.615	6.706	4.061	60.212	2.443	106.345	36	13.571	4.789	2.298	4.062	0.927	0.61	0.381	0.206	0.091	0.75	162	86	5.375	0.969	8.25	38	172	24	69	1.125	1.906	2.539	6.749	1.906	3.973	304.697	2632.177	1.5	4.625	2.461	1.564	34.008	0.552	0.782	1.799	1.906	30.49	0.476	2.094	0.434	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.25	36	0.563	1.75	0.512	2.473	1.792	31.451	31.357	54.919	34.728	60.023	3.874	3.928	-4.557	2.114	-5.207	0	0	0	0	0	3.556	0.222	69.067	4.317	3.938	0.246	72.127	4.508	3.943	0.246	70.66	4.416	3.943	0.246	70.626	4.414	3.879	0.242	76.046	4.753	3.943	0.246	71.89	4.493	3.857	0.241	76.754	4.797	24	32	40	40	34	30	8	0	0	74.25	129.375	194.063	222.75	258.188	91.125	0	0	240	1048.75	4.37	9.119	30.599	16.382	0	0	0	54.362	0	0	0	0	0	0	5	24	0	0	0	28	0	0	28	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	01101    0    0    0
2-3-5-6-tetrachlorophenol	0	2.222	48.106	22.596	1.738	54	116.42	63	120.444	8	6.186	1.535	1.755	0.045	24.333	5	17	35.44	25.455	0.264	569	849.309	465	923.852	10.543	37.47	140	2.545	27.317	17.531	108.333	0	0.952	140.5	10.1	260	809	8.61	32.914	395	81.618	81.058	118.19	99.124	114.239	2.625	4.376	4.4	3.266	3.755	3.364	8.594	5.037	4.768	4.197	2.531	1.523	0.781	0.458	0.298	0.21	0.127	0.076	8.06	4.069	3.387	2.643	1.36	0.803	0.733	0.37	0.212	0.132	0.068	0.04	10.594	6.191	6.176	6.22	3.753	2.441	43.499	2.074	58.822	32.243	9.413	3.369	1.732	2.883	1.11	0.61	0.378	0.157	0.068	0.667	89	47	4.273	0.529	4.314	20	60	11	26	0.832	1.322	2.107	5.643	2.732	3.438	115.905	790.047	1.349	3.641	2.203	1.436	18.944	0.6	0.822	2.005	1.738	22.596	0.47	1.962	0.435	2.47	32.106	0.667	1.231	0.617	2.777	36.106	0.751	0.923	0.694	3.085	40.106	0.834	0.615	0.771	3.085	40.106	0.834	0.615	0.771	3.085	40.106	0.834	0.615	0.771	2.365	1.792	15.42	15.316	22.582	18.774	21.925	2.838	2.894	-0.819	1.088	-0.424	0	0	0	0	0	3.092	0.281	35.728	3.248	3.274	0.298	40.509	3.683	3.283	0.298	39.822	3.62	3.284	0.299	39.771	3.616	3.241	0.295	42.313	3.847	3.263	0.297	41.221	3.747	3.24	0.295	42.098	3.827	16	20	20	20	14	4	0	0	0	48.75	73.125	109.688	96.188	30.375	0	0	0	116	411.625	3.548	3.333	21.063	11.511	0	0	0	33.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	01101    0    0    0
2-3-5-6-tetrafluorophenol	0	1.167	48.106	22.596	1.738	54	310	63	220	8	6.186	1.535	1.755	0.045	29	5	17	35.44	25.455	0.264	569	1802	465	3952	10.543	37.47	140	2.545	27.317	17.531	108.333	0	0.952	140.5	10.1	260	809	8.61	32.914	395	94.167	92.79	177.104	94.975	208.337	2.625	3.91	3.956	2.333	3.884	2.031	8.594	5.037	4.768	4.197	2.531	1.523	0.781	0.458	0.298	0.21	0.127	0.076	5.036	2.557	1.817	1.089	0.561	0.284	0.458	0.232	0.114	0.054	0.028	0.014	4.594	2.727	1.951	1.151	0.729	0.429	34.261	2.074	58.822	32.243	8.023	2.515	1.194	1.834	0.697	0.61	0.378	0.157	0.068	0.667	89	47	4.273	0.529	4.314	20	60	11	26	0.832	1.322	2.107	5.643	2.732	3.438	115.905	790.047	1.349	3.641	2.203	1.436	18.944	0.6	0.822	2.005	1.738	22.596	0.47	1.962	0.435	2.47	32.106	0.667	1.231	0.617	2.777	36.106	0.751	0.923	0.694	3.085	40.106	0.834	0.615	0.771	3.085	40.106	0.834	0.615	0.771	3.085	40.106	0.834	0.615	0.771	2.365	1.792	17.81	17.544	34.161	17.966	40.423	1.583	1.721	-6.71	1.502	-9.834	0	0	0	0	0	3.092	0.281	35.728	3.248	3.274	0.298	40.509	3.683	3.269	0.297	40.863	3.715	3.27	0.297	40.759	3.705	3.209	0.292	44.361	4.033	3.268	0.297	40.924	3.72	3.197	0.291	44.982	4.089	16	20	20	20	14	4	0	0	0	48.75	73.125	109.688	96.188	30.375	0	0	0	116	411.625	3.548	3.333	21.063	11.511	0	0	0	33.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	01101    0    0    0
2-3-5-trichlorphenol	0	2.373	48.106	23.086	1.776	48	108.815	54	109.333	7	5.781	1.579	1.783	0.056	22	4	13	30.765	22	0.281	456	717.037	372	809.592	9.613	20.125	110	2.444	23.283	15.422	84	0	0.962	107.5	8.8	208	634	7.095	26.524	314	65.613	65.236	93.006	77.433	90.882	2.487	4.073	4.091	3.097	3.575	3.161	7.724	4.609	4.39	3.343	2.356	1.305	0.772	0.461	0.314	0.209	0.139	0.082	7.004	3.579	2.942	1.984	1.134	0.61	0.7	0.358	0.21	0.124	0.067	0.038	9.224	5.475	5.503	4.612	3.288	1.907	37.758	2.027	49.681	33.347	8.139	2.964	1.768	2.412	1.074	0.597	0.342	0.153	0.065	0.667	76	40	4	0.4	3.6	18	40	10	17	0.861	1.371	2.063	5.35	1.895	3.301	92.854	588.526	1.522	3.543	2.136	1.399	16.45	0.597	0.818	1.963	1.776	23.086	0.48	1.925	0.444	2.661	34.596	0.719	1.039	0.665	3.181	41.351	0.86	0.52	0.795	3.7	48.106	1	0	0.925	3.7	48.106	1	0	0.925	3.7	48.106	1	0	0.925	2.307	1.792	13.644	13.567	19.58	16.131	19.222	2.191	2.233	-0.852	0.878	-0.617	0	0	0	0	0	2.98	0.298	31.09	3.109	3.123	0.312	34.766	3.477	3.129	0.313	34.341	3.434	3.13	0.313	34.305	3.43	3.089	0.309	36.316	3.632	3.112	0.311	35.356	3.536	3.087	0.309	36.178	3.618	14	16	17	16	11	2	0	0	0	41.25	64.125	92.813	75.938	15.188	0	0	0	96	337.813	3.519	2.727	19.225	10.536	0	0	0	29.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	01101    0    0    0
2-3-5-trimethylphenol	0	0.36	98.107	26.559	1.207	48	110	54	112	7	5.781	1.579	1.783	0.056	21	4	13	30.765	22	0.281	456	736	372	863	9.613	20.125	110	2.444	23.283	15.422	84	0	0.962	107.5	8.8	208	634	7.095	26.524	314	83.083	83.089	93.911	83.097	96.084	2.487	3.383	3.383	3.072	3.382	3.019	7.724	4.609	4.39	3.343	2.356	1.305	0.772	0.461	0.314	0.209	0.139	0.082	6.602	3.378	2.726	1.784	1.017	0.537	0.66	0.338	0.195	0.112	0.06	0.034	7.724	4.609	4.39	3.343	2.356	1.305	28.232	2.027	49.681	25.04	7.291	2.429	1.383	1.771	1.013	0.597	0.342	0.153	0.065	0.667	76	40	4	0.4	3.6	18	40	10	17	0.861	1.371	2.063	5.35	1.895	3.301	92.854	588.526	1.522	3.543	2.136	1.399	16.45	0.597	0.818	1.963	1.207	26.559	0.271	3.252	0.26	2.207	48.544	0.495	2.253	0.475	2.856	62.823	0.64	1.604	0.615	3.163	69.578	0.709	1.297	0.681	3.811	83.843	0.855	0.648	0.821	3.811	83.843	0.855	0.648	0.821	2.307	1.792	17.357	17.359	19.769	17.36	20.289	0.25	0.249	-0.953	0.248	-1.195	0	0	0	0	0	2.98	0.298	31.09	3.109	3.123	0.312	34.766	3.477	3.103	0.31	35.757	3.576	3.103	0.31	35.757	3.576	3.088	0.309	36.365	3.637	3.103	0.31	35.758	3.576	3.084	0.308	36.463	3.646	14	16	17	16	11	2	0	0	0	41.25	64.125	92.813	75.938	15.188	0	0	0	96	337.813	3.519	2.727	19.225	10.536	0	0	0	29.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01101    0    0    0
2-3-dichlorophenol	0	1.276	48.106	22.596	1.738	42	101.21	47	100.222	6	5.375	1.636	1.817	0.068	19.667	3	11	26.007	18.222	0.291	349	585.654	283	690.592	8.582	11.533	82	2.278	19.667	13.472	62	0	0.95	75.5	7.617	164	494	5.605	20.324	243	50.314	50.092	69.755	57.322	69.14	2.413	3.873	3.888	2.99	3.486	3.019	6.853	4.215	3.745	3.114	1.848	1.072	0.761	0.468	0.312	0.222	0.142	0.089	5.947	3.102	2.358	1.74	0.788	0.395	0.661	0.345	0.197	0.124	0.061	0.033	7.853	4.793	4.449	4.174	2.281	1.297	32.219	1.96	41.594	27.765	6.867	2.56	1.357	1.953	1.034	0.586	0.345	0.137	0.054	0.333	63	33	3.667	0.444	2.469	14	38	8	10	0.881	0.918	1.903	5.037	2.503	3.152	68.515	413.016	1.585	3.434	2.064	1.357	14.065	0.622	0.838	2.09	1.738	22.596	0.47	1.962	0.435	2.661	34.596	0.719	1.039	0.665	3.181	41.351	0.86	0.52	0.795	3.7	48.106	1	0	0.925	3.7	48.106	1	0	0.925	3.7	48.106	1	0	0.925	2.264	1.792	11.613	11.565	16.266	13.205	16.209	1.544	1.572	-0.886	0.668	-0.809	0	0	0	0	0	2.85	0.317	26.623	2.958	2.968	0.33	29.422	3.269	2.969	0.33	29.244	3.249	2.969	0.33	29.222	3.247	2.934	0.326	30.67	3.408	2.959	0.329	29.867	3.319	2.932	0.326	30.609	3.401	12	14	13	12	7	2	0	0	0	36.75	52.875	75.938	50.625	15.188	0	0	0	78	274.875	3.524	2.22	17.383	9.585	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	01101    0    0    0
